,job_title,job_url,job_summary,job_salary,job_location,job_quals,job_duties
0,  Data Scientist  ,https://www.usajobs.gov//job/708958100,     Summary                About the Position         Position is located in the Office of the Deputy Assistant Secretary of the Army for Financial Operations and Information  DASA FOI   a Directorate of the Office of the Assistant Secretary of the Army for Financial Management and Comptroller OASA FM amp C   Join today and support the future of financial management analytics  DASA FOI is seeking a highly motivated and qualified applicant to fill our Data Scientist position located in Arlington  Virginia           Learn more about this agency       ,------132-368-------172-075-----------,         Arlington        ,     Qualifications       This is a Direct Hire Authority  DHA  solicitation utilizing the DHA for Certain Personnel of the DoD Workforce to recruit and appoint qualified candidates to positions in the competitive service              Who May Apply  US Citizens            In order to qualify  you must meet the education experience requirements described below  Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   You will receive credit for all qualifying experience  including volunteer experience  Your resume must clearly describe your relevant experience  if qualifying based on education  your transcripts will be required as part of your application  Additional information about transcripts is       in this document                    Basic Requirement for a Data Scientist             A  Degree  bachelor s degree  or higher degree  in mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position         Transcripts required at the time of application                  OR            B  Combination of Education and Experience  Courses equivalent to a major field of study  30 semester hours  as shown in paragraph A above  plus additional education or appropriate experience         Transcripts required at the time of application                  In addition to meeting the basic requirement above  to qualify for this position you must also meet the qualification requirements listed below                 Specialized Experience       One year of specialized experience which includes  developing algorithms and or tools to support data manipulation and processing  preparing reports and create deliver presentations to the organization  senior leaders  and other external groups  formulates analytical mathematical procedures to solve operational data problems          This definition of specialized experience is typical of work performed at the next lower grade level position in the federal service  GS 13      ,           Help       Duties           Serve as a Data Scientist with skills in big data storage and processing  building data pipelines  and overseeing extract  transform  and load  ETL            Utilize tools such as Excel  Qlik  Power BI  Structured Query Language  SQL   Tableau  R  Python  PostgreSQL  Bash  Julia  Oracle  natural language processing  and other data analytics tools to support financial management decision analytics           Analyze a variety of data sources to provide data driven insights to the organizations to streamline processes           Apply professional knowledge of computer science  mathematical  statistical theories  techniques  and methods to enable the continued transformation of ASA  FM and C  into a data centric organization        
1,  Data Scientist  ,https://www.usajobs.gov//job/708842100,     Summary                About the Position         Position is located in the Office of the Deputy Assistant Secretary of the Army for Financial Operations and Information  DASA FOI   a Directorate of the Office of the Assistant Secretary of the Army for Financial Management and Comptroller OASA FM amp C   Join today and support the future of financial management analytics  DASA FOI is seeking a highly motivated and qualified applicant to fill our Data Scientist position located in Arlington  Virginia           Learn more about this agency       ,------112-015-------145-617-----------,         Arlington        ,     Qualifications       This is a Direct Hire Authority  DHA  solicitation utilizing the DHA for Certain Personnel of the DoD Workforce to recruit and appoint qualified candidates to positions in the competitive service              Who May Apply  US Citizens            In order to qualify  you must meet the education and experience requirements described below  Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   You will receive credit for all qualifying experience  including volunteer experience  Your resume must clearly describe your relevant experience        your          transcripts will be required as part of your application        Additional information about transcripts is       in this document                    Basic Requirement for a Data Scientist             A  Degree  Bachelor s degree  or higher degree  in mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position         Transcripts required at the time of application                  OR            B  Combination of Education and Experience  Courses equivalent to a major field of study  30 semester hours  as shown in paragraph A above  plus additional education or appropriate experience         Transcripts required at the time of application                  In addition to meeting the basic requirement above  to qualify for this position you must also meet the qualification requirements listed below                 Specialized Experience       One year of specialized experience which includes working with complex data sets to perform analysis of volumes of data  presenting briefings regarding the progress and or results of projects studies utilizing graphs  charts  scorecards  and or dashboards  applying analytical and evaluative techniques to solve operational data problems and or perform cybersecurity analysis          This definition of specialized experience is typical of work performed at the next lower grade level position in the federal service  GS 12  Some federal jobs allow you to substitute your education for the required experience in order to qualify  For this job  you must meet the qualification requirement using experience alone  no substitution of education for experience is permitted        ,           Help       Duties           Serve as a Data Scientist with skills in big data storage and processing  building data pipelines  and overseeing extract  transform  and load  ETL            Creating or developing the data architecture with analysis based on sound data and knowledge of information systems and design           Align data architecture with organizational business requirements           Analyze a variety of data sources to provide data driven insights to the organizations to streamline processes           Utilize tools such as Excel  Qlik  Power BI  Structured Query Language  SQL   Tableau  R  Python  PostgreSQL  Bash  Julia  Oracle  knowledge of machine learning methods  and other data analytics tools as necessary           Provide expert consultation to heads of major organizations  high ranking government official  and key personnel within and outside the federal government        
2,  COMPUTER SCIENTIST  DATA SCIENTIST DATA ANALYST   ,https://www.usajobs.gov//job/712013300,     Summary           DCSA s Program Executive Office  PEO  is seeking an experienced Data Scientist Computer Scientist to serve on applied and advanced R amp D programs on a wide variety of efforts  In this role  the incumbent will also research AI  and investigate integrate NLP algorithms to enhance machine learning enabled data processing capabilities  This is an excellent opportunity for those with experience in Data Science as it relates to the protection of cleared personnel and critical technologies           Learn more about this agency       ,------101-768-------145-617-----------,         Fort Meade  MD        ,     Qualifications       This position has a Basic Requirement for the 1550       Bachelor s degree in computer science or bachelor s degree with 30 semester hours in a combination of mathematics  statistics  and computer science  At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus  All academic degrees and course work must be from accredited or pre accredited institutions            NOTE  Failure to provide transcripts will result in you being rated ineligible for this position             The experience described in your resume will be evaluated and screened from the Office of Personnel Management s  OPMs  basic qualifications requirements  See        Computer Science Series 1550  opm gov       i e  for professional positions or positions with a basic education requirement        General Schedule Qualification Standards  opm gov       for OPM qualification standards  competencies and specialized experience needed to perform the duties of the position as described in the MAJOR DUTIES and QUALIFICATIONS sections of this announcement by 03 20 2023         Applicant must have directly applicable experience that demonstrates the possession of the knowledge  skills  abilities and competencies necessary for immediate success in the position  Qualifying experience may have been acquired in any public or private sector job  but will clearly demonstrate past experience in the application of the particular competencies knowledge  skills and abilities necessary to successfully perform the duties of the position          You must have specialized experience sufficient to demonstrate that you have acquired all the competencies necessary to perform at a level equivalent in difficulty  responsibility  and complexity to the next lower grade  GS GG 12  in the Federal service and are prepared to take on greater responsibility  Generally  this would include one year or more of such specialized experience              Specialized experience for this position includes          Specialized experience for this position includes principles of data science  data engineering  and or data architecture  This experience is typically demonstrated by evidence of development of Ai ML NLP constructs algorithms using python  experience using statistical software such as SPSS or SAS  experience using robotic process automation  RPA  software such as UiPath  and or experience designing and or implementing cloud based big data stores optimized for Ai              Specifically you will be evaluated on the following competencies                1        Data Analysis        Manipulate and exploit internal and external  structured  and unstructured data sources to accomplish organizational goals          2        Modeling and Simulation        Apply tools  techniques  and procedures to develop functional  physical  or prototype models and simulations for training  testing and evaluation  the prediction of behavior and phenomena  the evaluation of design alternatives  to support operational preparation  and to visually communicate concepts and or validate requirements          3        Programming Languages        Use programming languages to script and automate tasks  applies programming languages and skills across multiple platforms or frameworks          4        Software Engineering        Designs software utilizing the software life cycle process  develops  deploys  updates  maintains  and tests software using methodologies and tools  designs to leverage software reusability  and establishes and utilizes software engineering metrics          5        Systems Design        Design and evaluate software and hardware and develops enterprise and solution architectures that meet user needs and optimize performance  using applicable principles  methods  and tools     ,           Help       Duties           As a COMPUTER SCIENTIST  DATA SCIENTIST DATA ANALYST  you will be responsible for the following duties                Responsible for the application of data science principals  planning  executing  and implementing various data curation  acquisition  analytic  and delivery functions that support the work of the DCSA s Enterprise Architecture and the mission and business functions it supports              The position will support a number of efforts across DCSA including Personnel Vetting  Industrial Security  Insider Threat  Security Education  amp  Training and Counterintelligence  The position may interact with one or more of DCSA s research and innovation partners  and the missions they support              Researches and oversees implementation of capabilities solutions to solve agency business problems              Pans  describes and or develops computer programs required to keep existing software responsive to constant changing data requirements              Responsible for developing program and agency plans  describes and or develops computer programs required to keep existing software responsive to constant changing data requirements              Serves as a catalyst for creative engineering computer scientist thinking to integrate new technology capabilities and opportunities to develop more effective and responsive intelligence              Utilizes expertise within software system engineering  artificial intelligence  Ai  and machine learning  ML   Information Technology Architecture  and other related disciplines            
3,  Data Scientist  ,https://www.usajobs.gov//job/711306400,     Summary                The Data Scientist serves within the Office of Financial and Labor Analysis  ALA  directorate  The position acts as technical specialist  member of a team or project manager team lead for larger work activities               Learn more about this agency       ,------79-225-------122-805-------------------------------------------------32-49----------------------------------------------------------------,         Washington        ,     Qualifications                IN ADDITION TO MEETING THE BASIC EDUCATIONAL REQUIREMENTS BELOW               Specialized experience is defined as           Experience extracting  filtering and cleansing data sets AND          Experience analyzing  collecting and recording data related to the effectiveness and accuracy of new data sources and data gathering techniques while ensuring compliance with policy           To qualify for this position you must demonstrate in your application that you possess at least one year of specialized experience equivalent to the FV G  FG GS 11 level  This experience is typically related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge  skills  and abilities to successfully perform the duties of the position  To be creditable  specialized experience must have been at least equivalent to the next lower level in the normal line of progression for the occupation in the organization           You should include relevant examples of the specialized experience in your work history  Errors or omissions may impact your rating or may result in you not being considered           Answer all questions to the best of your ability  DO NOT ASSUME THAT BECAUSE YOU HOLD  OR HAVE HELD THIS POSITION  YOU WILL AUTOMATICALLY BE FOUND ELIGIBLE  You may be asked to provide evidence or documentation that you have this type of experience later in the selection process  Your responses are subject to verification through job interviews  or any other information obtained during the application process  Any exaggeration of your experience or any attempt to conceal information can result in disqualification                 Applicants who fail to demonstrate possession of any of the above criteria           AND          who do not provide the required documentation will receive no further consideration for this position                Applicants may be asked to verify information on your application for employment with the FAA             All qualification requirements must be met by the closing date of this vacancy announcement             Eligible applicants meeting the minimum qualification requirements and or selective placement factor s   SPF  may be further evaluated on the Knowledge  Skills and Abilities  KSA  and or Quality Ranking Factor  QRF  listed in the announcement  Based on this evaluation  applicants will be placed in one of the following categories   1  score order   2  category grouping   3  alphabetical  or  4  priority grouping  and referred to the selecting official for selection consideration        ,           Help       Duties           The work of the position involves analyzing  researching and studying employment levels  scheduling  and workforce planning to support several financial analysis initiatives to include  Workforce Planning  Financial and Economic Modeling  Financial Oversight  and Research among other things  for the Federal Aviation Administration s workforce           The Data Scientist performs a mixture of routine  multiple  and varying assignments under the limited direction of the manager or more experienced technical specialist  May perform some leadership functions for small projects programs teams  Uses knowledge of the domains of data engineering  computer programming  statistics  mathematical modeling  machine learning algorithms  and data visualization techniques to perform analysis and identify problems           Applies experience and detailed technical knowledge of computer science and mathematical and statistical theories  techniques  and methods to gather  analyze  design and construct new processes for modeling and reporting quantitative information  trends  and correlations among or within data sets  Follows established policies procedures provide guidance for most assignments  but allow some discretion to select the most appropriate approach to support data driven policy and operational decisions in support of the FAA Line of        Business  LOB  Staff Office  SO  programs  Typically receives guidance on selecting approach from a manager  project program manager  team leader  or more experienced technical specialist           Serves as an individual contributor of a team to assists with diverse and complex mathematical and statistical studies  analysis of varying amounts of information to discovering trends and patterns to solve problems  optimize use of data  and provide additional insight and evidence for ALA staff  Collects and record data related to the effectiveness and accuracy of new data sources and data gathering techniques while ensuring compliance with policy  Works with more experience staff in the development of simulations and modeling to solve mission focused policy and administrative problems  Combines modeling  statistics  analytics  and math skills to assist staff in developing techniques to address organizational and operational problems  Frequently refers difficult problems and work issues to a manager  program project manager  team leader  or more experienced technical specialist when guidelines are not available or applicable           Assists ALA staff in collecting data to identify business requirements and expected outcome  Identifies and selects relevant and credible data sources to collect  integrate and mine data  Conducts mathematical and statistical analysis using programming or statistical software  e g  R  Python  to identify  extract  filter and cleanse large data sets  and valuable data sources and automate collection processes  Assists more experienced technical staff in building statistical or simulation models to summarize and present results using data visualization tools  e g  Tableau  Power BI  and R   Communicates the overall results of a project to ALA management           Assignments typically require solutions that are to be derived by interpreting and extrapolating from situations that were faced in the past  Contact are primarily internal within the ALA  Metrics Division or AFN  with some contact with external organizations to share information  provide data and or written analyses  and discuss the statuses of assignments  In some technical areas  may have regular contact with customers and or external organizations           The work is reviewed periodically during assignments and at completion to ensure timeliness and technical compliance with the requirements of the project or other work activity  The work activities typically support the activities of the organizational unit and may affect project program objectives for the major subdivision and AFN        
4,  Data Scientist  ,https://www.usajobs.gov//job/711306600,     Summary                The Data Scientist serves within the Office of Financial and Labor Analysis  ALA  directorate  The position acts as technical specialist  member of a team or project manager team lead for larger work activities  The work of the position involves analyzing  researching and studying employment levels  scheduling  and workforce planning to support several financial analysis initiatives for the Federal Aviation Administration s workforce               Learn more about this agency       ,------95-293-------147-691-------------------------------------------------32-49----------------------------------------------------------------,         Washington        ,     Qualifications                IN ADDITION TO MEETING THE BASIC EDUCATIONAL REQUIREMENTS BELOW               Specialized experience is defined as           Experience collecting  recording and analyzing data information AND          Experience with mathematical  statistical studies  and analysis of varying amounts of information to discover trends and patterns for solving problems           To qualify for this position you must demonstrate in your application that you possess at least one year of specialized experience equivalent to the FV H  FG GS 12 level  This experience is typically related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge  skills  and abilities to successfully perform the duties of the position  To be creditable  specialized experience must have been at least equivalent to the next lower level in the normal line of progression for the occupation in the organization           You should include relevant examples of the specialized experience in your work history  Errors or omissions may impact your rating or may result in you not being considered           Answer all questions to the best of your ability  DO NOT ASSUME THAT BECAUSE YOU HOLD  OR HAVE HELD THIS POSITION  YOU WILL AUTOMATICALLY BE FOUND ELIGIBLE  You may be asked to provide evidence or documentation that you have this type of experience later in the selection process  Your responses are subject to verification through job interviews  or any other information obtained during the application process  Any exaggeration of your experience or any attempt to conceal information can result in disqualification                 Applicants who fail to demonstrate possession of any of the above criteria           AND          who do not provide the required documentation will receive no further consideration for this position                Applicants may be asked to verify information on your application for employment with the FAA             All qualification requirements must be met by the closing date of this vacancy announcement             Eligible applicants meeting the minimum qualification requirements and or selective placement factor s   SPF  may be further evaluated on the Knowledge  Skills and Abilities  KSA  and or Quality Ranking Factor  QRF  listed in the announcement  Based on this evaluation  applicants will be placed in one of the following categories   1  score order   2  category grouping   3  alphabetical  or  4  priority grouping  and referred to the selecting official for selection consideration        ,           Help       Duties           The Data Scientist applies advanced knowledge of computer science and mathematical and statistical theories  techniques  and methods to gather  analyze  design and construct new processes for modeling and reporting quantitative information  trends  and correlations among or within data sets  Selects appropriate approaches or recommends new approaches to support data driven policy and operational decisions in support of the FAA Line of Business  LOB  Staff Office  SO  programs  Serves as a contributor and or member of a team  who uses knowledge of the domains of data engineering  computer programming  statistics  mathematical modeling  machine learning algorithms  and data visualization techniques to solve problems and perform analysis  Performs multiple  varying  and complex assignments under the limited direction of a manager  project program manager  team leader  or more experienced technical specialist           Serves as a contributing specialist on large work activities  such as diverse and complex mathematical and statistical studies  analysis of varying amounts of information to discovering trends and patterns to solve problems  optimize use of data  and assists in obtaining additional insight and evidence for FAA decision makers  Analyzes qualitative and quantitative information to produce project deliverables  Defines  plans  and organizes assigned resources to accomplish organizational objectives  Allocates resources to accomplish small work activities within established schedules           Assesses the effectiveness and accuracy of new data sources and data gathering techniques while ensuring compliance with policy  Works with staff in the development of simulations and modeling to solve mission focused policy and administrative problems  Combines modeling  statistics  analytics  and math skills to develops and recommends techniques to address organizational and operational problems  Resolves all but unique technical problems without the intervention of management or a more experienced technical specialist  Identifies and informs management of problems that require attention  Often develops and recommends techniques to address problem situations           Conducts mathematical and statistical analysis using programming or statistical software  e g  R  Python  to identify valuable data sources and automate collection processes  Assists technical staff in building statistical or simulation models to summarizes and presents results using data visualization tools  e g  Tableau  Power BI  and R   Communicates the overall results of a project to FAA management  Collaborates with stakeholders to identify business requirements and expected outcome  Identifies and selects relevant and credible data sources to collect  integrate and mine data  Provides guidance to lower level technical staff on how to solve difficult technical issues           Established policies procedures provide guidance for most assignments  but allow considerable discretion to select the most appropriate approach or to recommend new approaches  Assignments typically require solutions that are to be derived by interpreting and extrapolating from situations that were faced in the past           Contact may be internal or external  May act as a key technical point of contact for assigned activities  Contributes to the preparation of management technical reports or contractual documents  and may communicate the overall results of a project or work activity to FAA management  the aviation and aerospace industries  and other external parties           The work is reviewed periodically  typically at major milestones and at completion  for technical compliance and alignment with the requirements of the project or other work activity  The work activities typically support and may be vital to the success of projects or activities of one or more organizational units  subdivisions  and LOB s SO s  In some areas  the work may affect the safety and security of customers        
5,  Data Scientist  ,https://www.usajobs.gov//job/709580700,     Summary           This position is located in the Department of Health  amp  Human Services  HHS   Centers for Medicare  amp  Medicaid Services  CMS   Center for Medicare  Medicare Drug Rebate and Negotiations Group  MDRNG   Division of Data Assessment and Analytics  DDAA              As a Data Scientist  GS 1560 13  you will be designing  developing  and implementing the analytical  statistical  and programming mechanisms necessary to collect  organize  analyze  and interpret unique and highly specialized data sets           Learn more about this agency       ,------84-546-------109-908------------------------------------------------------------------------,         Anywhere in the U S   remote job         ,     Qualifications           ALL QUALIFICATION REQUIREMENTS MUST BE MET BY THE CLOSING DATE OF THIS ANNOUNCEMENT             Your resume must include detailed information as it relates to the responsibilities and specialized experience for this position  Evidence of copying and pasting directly from the vacancy announcement without clearly documenting supplemental information to describe your experience will result in an ineligible rating  This will prevent you from receiving further consideration                 In order to qualify for the GS 13        you must meet the following  You must demonstrate in your resume at least one year  52 weeks  of qualifying specialized experience equivalent to the GS 12 grade level in the Federal government  obtained in either the private or public sector  to include  1  collaborating with internal or external stakeholders to review specialized healthcare data and recommend solutions  and  2  utilizing at least one of the following programming languages  SAS  VBA  Python  SQL  or R to develop approaches or methodologies for collection  analysis  and interpretation of data  and  3  utilizing business intelligence tools  e g   Tableau  PowerBI   or geographic information systems  e g   ESRI ArcGIS  to generate reports or other forms of data visualizations that convey data analyses to technical and non technical audiences          Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience     ,           Help       Duties           Conduct data science research with statistical and analytical tools used to analyze complex sets of data           Solve technical problems by writing code and explaining data architecture and design to both technical and non technical audiences           Develop project plans to ensure logistics are handled efficiently  identifying potential bottlenecks and resolving issues within the scope of authority           Direct internal and external process or system reviews  studies  projects  and data validation efforts  which provide a mean for evaluating system performance and vulnerabilities       
6,  DATA SCIENTIST  ,https://www.usajobs.gov//job/710110600,     Summary           You will serve as a DATA SCIENTIST in the   Business Directorate  Command Analytics Office  CAO   NAVAL FACILITIES ENGINEERING SYSTEMS COMMAND  Headquarters of NAVFAC OSF                While this position is administratively attached to the Headquarters  it may be filled by a candidate at any of the locations shown                This is a RE ADVERTISEMENT of Announcement Number ST 11845599 23 LMB  Applicants that have previously applied NEED to re apply to this announcement           Learn more about this agency       ,------116-393-------183-500---------------------------------------------------------------------------------------------------------------------------------------------------,         Naval Post Graduate School  Monterey  CA        ,     Qualifications       In addition to the Basic Requirements for this position  your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS 13 grade level or pay band in the Federal service or equivalent experience in the private or public sector performing the following duties          1  Using mathematical and statistical methodologies to develop processes utilized to analyze data       2  Conducting studies and developing and implementing data modeling tools  and      3  Preparing and presenting data visualizations for metrics and measures         Additional qualification information can be found from the following Office of Personnel Management website           https   www opm gov policy data oversight classification qualifications general schedule qualification standards  url List by Occupational Series            Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment     ,           Help       Duties           You will conduct large data extractions by using computer science methods without preset specifications           You will analyze qualitative and quantitative data to report on organizational  program  or service performance           You will conduct studies and design analytical deliverables to quantify business performance of key program  product  or service priorities           You will develop statistical  machine learning  and simulation models to analyze and forecast system performance          You will design database systems or programs using data visualization software  e g  Oracle  SQL  Python  and data warehouse architecture           You will analyze management or customer requirements to develop data reporting systems  e g  specifications  data gathering sources  and analytical  techniques  and systems evaluation methodology            You will collaborate with stakeholders to identify integrated data measures that assess key program  product  or organizational goals       
7,  Data Scientist  ,https://www.usajobs.gov//job/710897600,     Summary           This is a bargaining unit position with AFGE Local 228  This is not a  drug  testing designated position  TDP                Learn more about this agency       ,------132-368-------172-075------------------------------------------------------------------------------------------------14------01----132-368------,         Washington        ,     Qualifications                GS 14                    Specialized Experience       One year of specialized experience  equivalent to the GS 13 grade level in the Federal service  obtained in either the private or public sector          1  Developing and managing complex data analysis  program evaluation  or research projects        AND            2  Collecting primary data for research        AND            3  Analyzing and interpreting data using statistical software packages        AND            4  Managing project schedules for complex organizations        AND            5  Interpreting a portfolio of evidence to make recommendations on program improvement              These qualifications must be clearly referenced in your resume             AND            Education       Completed a full 4 year course of study in an accredited college or university leading to a bachelor s or higher degree in mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position  You MUST submit transcripts  official or unofficial  with your application or you will be rated ineligible for consideration  If selected  official transcripts will be required  Transcripts must include the name of the college or university and date the degree was conferred              OR            Combination       Combination of education and experience  Courses equivalent to a major field of study  30 semester hours  as shown in  A   above  plus additional education or appropriate experience  Transcripts  official or unofficial  must be submitted in support of this response  If selected  official transcripts will be required         Additional information on the qualification requirements is outlined in the OPM Qualifications Standards Handbook of General Schedule Positions  It is available for your review on OPM s Qualifications web site              Data Science Series 1560            Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g  Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience              TIME IN GRADE       If you are a current career or career conditional federal employee applying for promotion under Merit Promotion you must have completed a minimum of 52 weeks in positions at the next level lower than the position being filled              All qualification requirements must be met by 11 59 pm  Eastern Time  on 03 20 2023        ,           Help       Duties       This position is with the Small Business Administration  Office of Entrepreneurship Education within the Office of Entrepreneurial Development  OED   Serve as a technical authority and expert consultant regarding agency innovation and the delivery of expert business intelligence with respect to data governance  data visualization  data analysis and management capabilities  organizational capacity  and enterprise analytics infrastructure          Duties include but are not limited to            Serve as a senior data scientist and technical authority  with responsibility for independently performing and providing professional and scientific expertise in performance of work requiring knowledge and application of data analysis  data cleansing  statistical analysis  modeling simulation  and or other scientific principles  methods  and techniques            Provide a variety of tactical data analytics and programming which provide professional consultation in applying statistical theories  techniques  and methods to gather  analyze  interpret  and or report quantified information as well as the design  development and adaptation of mathematical  statistical  and other scientific methods and techniques            As a senior data scientist  drive agency innovation and deliver expert business intelligence with respect to data governance  data visualization  data analysis and management capabilities  organizational capacity  and enterprise analytics infrastructure            Perform other duties as assigned     
8,  Data Scientist  ,https://www.usajobs.gov//job/709571700,     Summary           This position is located in the United States Mint  The branch is responsible for improving the overall integration of the United States Mint s planning and management control processes  developing processes for defining bureau strategic objectives and integrating them in the bureau programming and budgeting process  and providing for continuous analysis  performance evaluation  and diagnosis to ensure progress toward those strategic objectives           Learn more about this agency       ,------132-368-------172-075-----------,         Washington        ,     Qualifications       For the GS 14  you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS 13grade level in the Federal service  Specialized experience or General experience for this position includes                Locating  extracting  transforming and loading data from multiple sources for analysis  AND          Using statistical analysis to develop  manage  and maintain models  dashboards  and reports  AND          Creating  updating  and distributing data visualizations using business intelligence software packages             In addition to the above requirements  you must meet the following       time in grade requirement       For the GS 14 you must have been at the GS 13level for 52 weeks     ,           Help       Duties       As a an Data Scientist  you will             Translate complex concepts  findings  and limitations into concise  plain language             Consult with stakeholders and customers to identify the appropriate data  methodological approach  and design              Conduct observational analyses using software and or programming languages such as R  Python  or SAS to explore group data  test hypotheses  predict outcomes  and inform decisions              Derive meaning from big data  i e   datasets that may be large  disparate  unstructured  and or complex   including structured  loosely structured  and unstructured data            
9,  Data Scientist  ,https://www.usajobs.gov//job/710743700,     Summary           This position is located in the National Oceanic and Atmospheric Administration  NOAA   Office of Oceanic and Atmospheric Research  OAR   Climate Program Office  CPO   with one vacancy in Silver Spring  MD             This position is also announced under vacancy number OAR CPO 23 11851619 DE  which is open to all US Citizens or Nationals  You must apply to both announcements if you want to be considered for both           Learn more about this agency       ,------78-592-------172-075-----------,         Silver Spring        ,     Qualifications           Qualification requirements in the vacancy announcements are based on the U S  Office of Personnel Management  OPM  Qualification Standards Handbook  which contains federal qualification standards  This handbook is available on the Office of Personnel Management s website located at          https   www opm gov policy                          BASIC REQUIREMENTS         This position has a positive Education Requirement in addition to at least one year of Specialized Experience OR substitution of education for experience OR combination  if applicable  in order to be found minimally qualified  Transcripts must be submitted with your application package  You MUST meet the following requirements                        To qualify for the 1560 series                           EDUCATION                      A  Degree         Mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position         OR             B  Combination of education and experience          Courses equivalent to a major field of study  30 semester hours  as shown in paragraph A above  plus additional education or appropriate experience             AND                 SPECIALIZED EXPERIENCE         Applicants must possess one year of specialized experience equivalent in difficulty and responsibility to the next lower grade level in the Federal Service  Specialized experience is experience that has equipped the applicant with the particular competencies knowledge  skills and abilities to successfully perform the duties of the position  This experience need not have been in the federal government             Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience                        To qualify at the ZP 3 or GS 11 level                               SPECIALIZED EXPERIENCE         In addition to meeting the Basic Requirements above  applicants must also possess one full year  52 weeks  of specialized experience equivalent to the ZP 2 or GS 09 in the Federal service  Specialized experience MUST include all of the following                Participating in data management and statistical analysis and modeling              Providing assistance in software development and user support  and             Serving as an independent researcher under general direction and guidance on project objectives  limits  work plans  and conclusions  assessing accuracy and reliability               OR             SUBSTITUTION OF EDUCATION         3 years of progressively higher level graduate education leading to a Ph D  degree in a directly related field or Ph D  in a directly related field or equivalent doctoral degree in a directly related field         OR             COMBINATION OF EDUCATION AND EXPERIENCE         A combination of related graduate education and specialized experience as described above  Note  Only graduate education in excess of two years is qualifying for combination                      To qualify at the ZP 4 or GS 13 level                           SPECIALIZED EXPERIENCE         In addition to meeting the Basic Requirements above  applicants must also possess one full year  52 weeks  of specialized experience equivalent to the ZP 3 or GS 12 in the Federal service  Specialized experience MUST include all of the following                Utilizing programming languages such as R  Python  and or geospatial analysis tools  such as in ArcGIS Pro to develop approaches or methodologies for collection  analysis  and interpretation of data              Facilitating the integration of technologies by analyzing data and providing recommendations in a research and development environment  and             Analyzing public health  climate weather  demographic  and other structured and unstructured data using data science methods and tools such as Artificial Intelligence   Machine Learning and or cloud computing            ,           Help       Duties       As a Data Scientist  you will perform the following duties             Identify the methods  processes  algorithms  tools  and systems to extract and interpret findings from varied structured and unstructured data sets related to the data science lifecycle              Utilize data visualization techniques to articulate findings while applying professional knowledge of computer science and mathematical and statistical theories  techniques  and methods to gather  analyze  design  and construct new processes              Lead and manage activities focused on improving climate and health  principally heat health  user decision making and service provision  research transition  and integration of climate and health data and information              Oversee efforts across NOAA Line Offices  Laboratories  and Programs to improve operational service provision  research transition  and integration of climate and health data           These duties are described at the full performance level of the ZP 4  the ZP 3 is developmental leading to such performance     
