,job_title,job_url,job_summary,job_salary,job_location,job_quals
0,  DATA ANALYST  ,https://www.usajobs.gov//job/693574600,     Summary           This is a public notice flyer to notify interested applicants of anticipated vacancies  Applications will not be accepted through this flyer  Interested applicants must follow the directions in the  How to Apply  section of this flyer to be considered  There may or may not be actual vacancies filled from this flyer  Notice of Result letters will not be sent to applicants who respond to this flyer               Learn more about this agency       ,------74-950-------97-430-----------,         Joint Base Anacostia Bolling  DC         vacancy    ,     Qualifications       Your resume must also demonstrate at least one year of experience at or equivalent to the GS    GS    grade level or pay band in the Federal service or equivalent experience in the private or public sector  Specialized experience must demonstrate the following          Participating in data research and statistical analysis on major Department of Defense weapon system data and databases  evaluating the effectiveness of related statistical programs applications  Managing instructions  methodologies  and or guidelines as necessary to achieve data management objectives  Developing improved data management material and documentation  Developing or presenting training to internal or external audiences on data science topics  Participating in the analysis of management information requirements to develop program or administrative reporting systems including the systems specifications  data gathering and analytical techniques  and systems evaluation methodology  Performing queries using various types of database and analytical tools  e g   SQL Server           Additional qualification information can be found from the following Office of Personnel Management website https   www opm gov policy data oversight classification qualifications general schedule qualification standards              Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment     
1,  Data Analyst  ,https://www.usajobs.gov//job/705283300,     Summary           This assignment is a           year        non reimbursable assignment             This assignment is located with Department of Homeland Security  Office of the Chief Human Capital Officer  Strategic Talent Recruitment  Inclusive  and Engagement  STRIDE            Learn more about this agency       ,------112-015-------172-075-----------,         Anywhere in the U S   remote job         ,     Qualifications           Qualifications required                Solid working knowledge of data analytical tools such as Excel  Tableau  SharePoint  PowerBI  FedScope  and other statistical analysis tools that will enable data mining for insights              Communicate effectively and work well in both independent and team settings in order to effectively engage others to foster innovative approaches from the data analysis to improve program management and decision making              Fundamental knowledge of DEIA  recruitment  and employee engagement principles              Collaborate with key internal partners and external stakeholders to inform multiple quantitative and qualitative analysis of data reports              Ability to identify relevant trends and patterns and make recommendations to improve processes              Create visual data presentations and briefings for the senior management and regularly communicate these findings  both in written form and oral presentations               Please read the following important information to ensure we have everything we need to consider your application          It is your responsibility to ensure that you submit appropriate documentation prior to the closing date  Your resume serves as the basis for qualification determinations and must highlight your most relevant and significant experience as it relates to this Joint Duty assignment opportunity announcement          Be clear and specific when describing your work history since human resources cannot make assumptions regarding your experience  Your application will be rated based on your resume              Please ensure EACH work history includes ALL of the following information                Job Title  Include series and grade of Federal Job              Duties  Be specific in describing your duties              Name of Federal agency             Supervisor name  email  and phone number             Start and end dates including month and year  e g  June      to April                 
2,  Data Analyst  ,https://www.usajobs.gov//job/709658500,     Summary                This position is located in the Architect of the Capitol  AOC   Office of the Chief Financial Officer  OCFO   Data and Business Intelligence Division  DBID   Analysis and Reporting Branch  The incumbent serves as a Data Analyst and is responsible for conducting data analyses  tracking metrics  and producing customized reports and dashboards  as well as providing authoritative guidance to leaders and staff utilizing data analytics and trend analyses to accomplish the AOC s mission               Learn more about this agency       ,------112-015-------145-617-----------,      nd and D Street  S W        Washington DC  DC         vacancy    ,     Qualifications           You must meet the United States Office of Personnel Management s  OPM  qualification requirements  including specialized experience and or educational requirements  for the advertised position  You must meet all eligibility and qualifications requirements by the closing date of the job announcement  Additional information on the qualification requirements is outlined in the OPM Qualifications Standards Handbook of General Schedule Positions  It is available for your review on the OPM website at         http   www opm gov qualifications                          Specialized experience        is an experience that has equipped you with the particular knowledge  skills  and abilities to perform successfully the duties of the position  and that is typically in or related to the position to be filled  To be creditable  specialized experience must have been equivalent to at least the next lower grade level             Candidates for the GS    grade level must have at least    weeks of specialized experience equivalent to the GS    grade level in the Federal service             Specialized experience for this position includes                      Professional knowledge of methods  techniques  and tools used to analyze organizational and mission performance  including statistical analysis and sampling techniques  as well as methods that deliver key performance information  e g   comparative  trend  diagnostic  root cause  predictive  used to inform decisions  actions  communications  and accountability systems                         Comprehensive knowledge of a wide range of qualitative and or quantitative methods for the assessment and improvement of program effectiveness or the improvement of complex management processes and systems                         Skilled in influencing and negotiating to build consensus through give and take and gaining cooperation from others to obtain information and accomplish goals                   Skilled in expressing information to individuals or groups effectively  taking into account the audience and the nature of the information and ability to make clear and convincing oral and written presentations                    Ability to be resourceful and exercise a high level of initiative  judgment  and commitment to accomplishing work  often under short deadlines  to program goals and results in support of AOC s mission vision goals                 
3,  Senior Data Analyst  ,https://www.usajobs.gov//job/709166200,     Summary                The Center for Devices and Radiological Health  CDRH  assures that patients and providers have timely and continued access to safe  effective and high quality medical devices and safe radiation emitting products  CDRH facilitates medical device innovation by advancing regulatory science  providing industry with predictable  consistent  transparent and efficient regulatory pathways  and assuring consumer confidence in devices marketed in the U S               Learn more about this agency       ,------99-908-------129-878------------------------------------------------------------------------------------------------------------------------------------------------------------------------,         Anywhere in the U S   remote job         ,     Qualifications           The position of Senior Data Analyst falls under the                        occupational series  To qualify for this position at grade      GS            you must meet         Time in Grade        requirements by       pm EST on                            Minimum Qualifications          Specialized experience is experience that equipped the applicant with the particular knowledge  skills  and abilities to perform successfully the duties of the position  and that is typically in or related to the work of the position to be filled  The specialized experience must demonstrate one year of full time work experience   or the equivalent if part time  for example  an employee working    hours per week for a    month period should be credited with   months of experience   Experience may have been obtained in either the federal service or its equivalent with state or local government  the private sector  or nongovernmental organizations              To Qualify for the Senior Data Analyst  GS         you MUST meet the Specialized Experience listed below             For the GS    level  you must possess one year of experience  equivalent to at least the GS    level in the Federal service  Experience may include             Analyzing  designing  testing  and making recommendations to management and IT specialists regarding the use and implementation of data management systems              Utilizing a variety of data analytics tools to analyze and interpret unique and highly specialized datasets  and             Implementing strategies and technologies used to analyze data and perform decision making to improve business and program operations               In accordance with Office of Personnel Management policy  federal employees are assumed to have gained experience by performing duties and responsibilities appropriate for their official series and grade level as described in their position description  Experience that would not normally be part of the employee s position is creditable  however  when documented by satisfactory evidence  such as a signed memorandum from the employee s supervisor or an         SF           or SF    documenting an official detail or other official assignment  The documentation must indicate whether the duties were performed full time or  if part time  the percentage of times the other duties were performed  It is expected that this documentation is included in the employee s official personnel record  In order to receive credit for experience in your resume that is not within the official series and grade level of your official position  you must provide a copy of the appropriate documentation of such experience as indicated above             If you are applying based on some other qualifying eligibility  i e  you are not applying as a current Federal employee   you must meet the specific requirements of the eligibility you are claiming  and must have sufficient past experience to demonstrate that you are minimally qualified for this position        See         Unique Hiring Paths        on USAJOBS for more information about various ways you may be eligible to apply                 PHS Commissioned Corps Officers interested in performing the duties of this position within the Commissioned Corps may apply online to this announcement  Candidates will be referred to  CC  personnel and not as candidates for conversion to a permanent career or career conditional appointment                 NOTE       It is your responsibility to ensure your responses and appropriate documentation is submitted prior to the closing date  To verify your application is complete  log into your USAJOBS account        https   my usajobs gov Account Login        select the       Application Status      link and then select the       M               ore        Information      link for this position  The Details page will display the status of your application  the documentation received and processed  and any correspondence the agency has sent related to this application              IN DESCRIBING YOUR EXPERIENCE  PLEASE BE CLEAR AND SPECIFIC  WE WILL NOT MAKE ASSUMPTIONS REGARDING YOUR EXPERIENCE  Qualifications are based on breadth level of experience  In addition to describing duties performed  applicants must provide the exact dates of each period of employment  from MM YY to MM YY  and the number of hours worked per week if part time  As qualification determinations cannot be made when resumes do not include the required information  failure to provide this information may result in disqualification  Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume                 Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience                 You must submit         supporting documentation        to verify your eligibility to apply for this vacancy  For most applicants  an         SF           will be required  However  if you are applying as a         Veteran          individual with a         qualifying disability          or a         displaced employee          you will be required to provide other supporting documents as applicable          See the Required Documents section for details              Be sure that any files you upload as supporting documentation are free of security or compression features which render such documents unreadable to our system     
4,  Program Analyst  Data   ,https://www.usajobs.gov//job/709017400,     Summary                Duty Station Location will be negotiable after selection  Telework or Remote Work will be considered for highly qualified candidates                 This position is part of the Director  Bureau of Indian Education  Bureau of Indian Education  As a Program Analyst  Data  you will be responsible for data management process improvements to achieve greater effectiveness and efficiencies within the Bureau  ensuring practices and controls are in place for accountability and appropriate data management          Learn more about this agency       ,------82-830-------183-500-----------,         Washington        ,     Qualifications       Applicants must meet the qualification requirements contained in the       OPM Standards        For this position  they are listed below              SPECIALIZED EXPERIENCE       Experience that equipped the applicant with the particular knowledge  skills  and abilities to perform successfully the duties of the position  and that is typically in or related to the work of the position to be filled  To be creditable  specialized experience must have been equivalent to at least the next lower grade level in the normal line of progression for the occupation in the organization              GS            year of specialized experience equivalent to at least the GS    level in the Federal service  Monitors  and measures the performance of data management implementation in accordance with applicable laws  regulations  and policies  Assists in identifying  reviewing  and issuing procedures and guidance for bureau data stewardship  data architecture  metadata  and data technical standards across the bureau  Experience in interpreting and or applying Federal regulations  policies  bulletins  directives  Government standards and their relationship to Indian Affairs and or Bureau of Indian Education programs  Promotes data related collaboration and represents the bureau within appropriate data management partnerships             GS            year of specialized experience equivalent to at least the GS    level in the Federal service  Provides program support for planning  development and coordination of data management  Independently monitors  and measures the performance of data management implementation in accordance with applicable laws  regulations  and policies  Assists in identifying  reviewing  and issuing procedures and guidance for bureau data stewardship  data architecture  metadata  and data technical standards across the bureau  Experience in interpreting and or applying Federal regulations  policies  bulletins  directives  Government standards and their relationship to Indian Affairs and or Bureau of Indian Education programs  Promotes data related collaboration and represents the bureau within appropriate data management partnerships             GS            year of specialized experience equivalent to at least the GS    level in the Federal service  Provides program oversight  planning  development and coordination of data management  Monitors  and measures the performance of data management implementation in accordance with applicable laws  regulations  and policies  Assists in identifying  reviewing  and issuing procedures and guidance for bureau data stewardship  data architecture  metadata  and data technical standards across the bureau  Experience in interpreting and or applying Federal regulations  policies  bulletins  directives  Government standards and their relationship to Indian Affairs and or Bureau of Indian Education programs  Promotes data related collaboration and represents the bureau within appropriate data management partnerships          Only experience and education obtained by the closing date of this announcement will be considered              Time In Grade Requirements       Merit Promotion  status  candidates must have completed one year     weeks  of service at the next lower grade level     
5,  Forensic Data Analyst  ,https://www.usajobs.gov//job/710689400,     Summary                JOB DESCRIPTION  Forensic Data Analysts conduct and manage the Agency wide Fraud Detection and Prevention Program  They apply tools and algorithms to identify unusual patterns and other indications of fraudulent activity  They access  manipulate  and or combine data to decipher underlying trends or uncover anomalies  and discern obscure patterns and attributes associated with anomalies  These analysts perform proa              Learn more about this agency       ,------100-694-------172-075-----------,         Springfield  VA        ,     Qualifications           MANDATORY QUALIFICATION CRITERIA  For this particular job  applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education  if required   Online resumes must demonstrate qualification by providing specific examples and associated results  in response to the announcement s mandatory criteria specified in this vacancy announcement                Demonstrated experience acquiring  cleaning  ensuring the quality of  and facilitating the access of data            Demonstrated experience performing fraud analytics  business analytics  and metrics            Demonstrated experience engaging external partners in data analytics in support of overall mission success            Knowledge of the Council of the Inspectors General on Integrity and Efficiency  CIGIE  policies and standards             EDUCATION REQUIREMENT  A  Education  Bachelor s degree from an accredited college or university in Accounting  Business Administration  Computer Science  Criminal Justice  Criminology  Mathematics  Police Science  Statistics  or a related field   OR  B  Combination of Education and Experience  A minimum of    semester     quarter  hours of coursework in any area listed in option A  plus experience in qualitative and quantitative analysis or a related area that demonstrates the ability to successfully perform the duties associated with this work  As a rule  every    semester     quarter  hours of coursework is equivalent to one year of experience  Candidates should show that their combination of education and experience totals to   years   OR  C  Experience  A minimum of   years of experience in qualitative and quantitative analysis or a related area that demonstrates the ability to successfully perform the duties associated with this work           DESIRABLE QUALIFICATION CRITERIA  In addition to the mandatory qualifications  experience in the following is desired                Demonstrated software experience in Tableau  SPSS  Python  SQL  and advanced Excel            Demonstrated fraud analytics experience or certification  Certified Fraud Examiner or equivalent             Data Science Training or Certificate        
6,  Data Management Analyst  ,https://www.usajobs.gov//job/711718200,     Summary           This position is a designated as a remote work position  reporting to the Office of External Affairs  EA  at the Peace Corps headquarters  in Washington  D C  The primary purpose of this position is to provide Leadership with digital analytics for social media  email marketing  website  event  and engagement activities that occur across EA sub offices including Third Goal  amp  Returned Volunteer Services  Communications  Congressional Relations  Gifts  amp  Grants Management and Strategic Partnerships           Learn more about this agency       ,------67-122-------121-648-----------------------------------------------------------------------------------------------------------------------------------,         Anywhere in the U S   remote job         ,     Qualifications                Specialized Experience               You must meet the specialized experience at the grade level s  in which you choose to be considered by       p m  Eastern Time  ET  on             the closing date of the announcement   You will receive credit for all qualifying experience  including volunteer experience  To ensure full credit for your experience  please indicate dates of employment by month  day  and year and the number of hours worked per week in your resume             This vacancy is being announced at two grade levels                  FP                  Qualifying experience for the FP   level includes one year of specialized experience at least equivalent to the FP   or GS   level which is in or directly related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge  skills  and abilities to successfully perform the duties of the position          Specialized experience includes          Experience cleaning  coding  and recoding both qualitative and quantitative data for recurring reports and ad hoc data requests  Experience using analytical expertise in data collection tools and statistical methods to assist in analyzing data and identifying trends  Experience assisting in addressing technical or administrative issues associated with data collection and  maintenance of data management tools and analytical software                  FP                  Qualifying experience for the FP   level includes one year of specialized experience at least equivalent to the FP   or GS   level which is in or directly related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge  skills  and abilities to successfully perform the duties of the position          Specialized experience includes          Experience cleaning  coding  and recoding both qualitative and quantitative data for recurring reports and ad hoc data requests  Experience using analytical expertise in data collection tools and statistical methods to assist in analyzing data and identifying trends  Experience assisting in addressing technical or administrative issues associated with data collection and  maintenance of data management tools and analytical software  Monitors and periodically reviews project work plans to ensure accuracy  progress  and compliance with organizational standards and office goals and objectives           Additional information on qualification requirements is outlined in the OPM Qualifications Standards Handbook of General Schedule Positions  It is available for your review on the OPM web site at         https   www opm gov policy data oversight classification qualifications                    All qualification requirements must be met by             the closing date of this announcement   Qualification claims will be subject to verification                Please note         Peace Corps employees are employed using the Foreign Personnel  FP  pay scale  The FP pay plan does not follow the same structure as the GS pay plan  In the FP pay plan  as the grade level numbers decrease the level pay for the position increases  e g   the FP    is the lowest entry level pay and the FP    is the highest senior level pay         
7,  Data Management Analyst  ,https://www.usajobs.gov//job/711718700,     Summary           This position is a designated as a remote work position  reporting to the Office of External Affairs  EA  at the Peace Corps headquarters  in Washington  D C  The primary purpose of this position is to provide Leadership with digital analytics for social media  email marketing  website  event  and engagement activities that occur across EA sub offices including Third Goal  amp  Returned Volunteer Services  Communications  Congressional Relations  Gifts  amp  Grants Management and Strategic Partnerships           Learn more about this agency       ,------67-122-------121-648-----------------------------------------------------------------------------------------------------------------------------------,         Anywhere in the U S   remote job         ,     Qualifications                Specialized Experience               You must meet the specialized experience at the grade level s  in which you choose to be considered by       p m  Eastern Time  ET  on             the closing date of the announcement   You will receive credit for all qualifying experience  including volunteer experience  To ensure full credit for your experience  please indicate dates of employment by month  day  and year and the number of hours worked per week in your resume             This vacancy is being announced at two grade levels                  FP                  Qualifying experience for the FP   level includes one year of specialized experience at least equivalent to the FP   or GS   level which is in or directly related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge  skills  and abilities to successfully perform the duties of the position          Specialized experience includes          Experience cleaning  coding  and recoding both qualitative and quantitative data for recurring reports and ad hoc data requests  Experience using analytical expertise in data collection tools and statistical methods to assist in analyzing data and identifying trends  Experience assisting in addressing technical or administrative issues associated with data collection and  maintenance of data management tools and analytical software                  FP                  Qualifying experience for the FP   level includes one year of specialized experience at least equivalent to the FP   or GS   level which is in or directly related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge  skills  and abilities to successfully perform the duties of the position          Specialized experience includes          Experience cleaning  coding  and recoding both qualitative and quantitative data for recurring reports and ad hoc data requests  Experience using analytical expertise in data collection tools and statistical methods to assist in analyzing data and identifying trends  Experience assisting in addressing technical or administrative issues associated with data collection and  maintenance of data management tools and analytical software  Monitors and periodically reviews project work plans to ensure accuracy  progress  and compliance with organizational standards and office goals and objectives           Additional information on qualification requirements is outlined in the OPM Qualifications Standards Handbook of General Schedule Positions  It is available for your review on the OPM web site at         https   www opm gov policy data oversight classification qualifications                    All qualification requirements must be met by             the closing date of this announcement   Qualification claims will be subject to verification                Please note         Peace Corps employees are employed using the Foreign Personnel  FP  pay scale  The FP pay plan does not follow the same structure as the GS pay plan  In the FP pay plan  as the grade level numbers decrease the level pay for the position increases  e g   the FP    is the lowest entry level pay and the FP    is the highest senior level pay         
8,  Data and Research Analyst  ,https://www.usajobs.gov//job/711421500,     Summary           This position is located in the Department of Health And Human Services  Administration for Children and Families  headquartered in Washington  District of Columbia                  This announcement has an applicant limit of      Once the first     applicants have been reached  the announcement will no longer be available to apply               Learn more about this agency       ,------112-015-------145-617-----------,         Washington        ,     Qualifications           WHAT WE ARE LOOKING FOR            Minimum Qualifications  You must possess at least one year of specialized experience equivalent in difficulty and responsibility to the GS    level in the Federal service that includes all the following             Coordinating data collection efforts              Developing and implementing databases or data collection systems              Identifying solutions to data systems issues               Documenting experience       IN DESCRIBING YOUR EXPERIENCE  PLEASE BE CLEAR AND SPECIFIC  WE WILL NOT MAKE ASSUMPTIONS REGARDING YOUR EXPERIENCE  Qualifications are based on breadth level of experience  In addition to describing duties performed  applicants must provide the exact dates of each period of employment  from MM YY to MM YY  and the number of hours worked per week if part time  As qualification determinations cannot be made when resumes do not include the required information  failure to provide this information may result in disqualification  Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume                   Do not copy and paste the duties  specialized experience  or occupational assessment questionnaire from this announcement into your resume as that will not be considered a demonstration of your qualifications for this position                 In accordance with Office of Personnel Management policy  federal employees are assumed to have gained experience by performing duties and responsibilities appropriate for their official series and grade level as described in their position description  Experience that would not normally be part of the employee s position is creditable  however  when documented by satisfactory evidence  such as a signed memorandum from the employee s supervisor or an SF    or SF    documenting an official detail or other official assignment  The documentation must indicate whether the duties were performed full time or  if part time  the  percentage of times  the other duties were performed  It is expected that this documentation is included in the employee s official personnel record  In order to receive credit for experience in your resume that is not within the official series and grade level of your official position  you must provide a copy of the appropriate documentation of such experience as indicated above          Experience refers to paid and unpaid experience  including volunteer work done through national Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to gain employment  You will receive credit for all qualifying experience  including volunteer experience  If such experience is on a part time basis  you must provide the average number of hours worked per week as well as the beginning and ending dates of the experience so it can be fully credited              OPM Qualification General Policies Website       
9,  Management and Program Analyst  Data   ,https://www.usajobs.gov//job/711218900,     Summary           View         Common Definitions        of terms found in this announcement                  Organizational Location         These positions are located in the Department of Homeland Security  Immigration and Customs Enforcement  Office of Chief Financial Officer  Office of Budget and Program Performance  in Washington  District of Columbia                  These are bargaining unit positions that are not currently covered by a bargaining unit agreement                   Learn more about this agency       ,------78-592-------122-459-----------,         Washington         vacancies    ,     Qualifications           Please limit your resume to   pages  If more than   pages are submitted  only the first   pages will be reviewed to determine your eligibility qualifications                 You qualify for the GS    grade level if you possess one of the following                 Experience       One     year of specialized experience equivalent to the GS    grade level or equivalent performing duties such as             Coordinating with senior level analysts to perform a variety of management and administrative services essential to the formulation of policies in assigned program areas              Identifying and maintaining final planning controls for submission of data              Gathering facts  observations  and techniques to measure efficiency and effectiveness of program policies            OR                   Education       Ph D  or equivalent doctoral degree  three years of progressively higher level graduate education leading to such a degree  or LL M  if related        OR                Combination of Education and Experience       A combination of successfully completed post high school education and experience may be used to meet total qualification requirements  The total percentages must equal at least      to qualify for the GS    grade level  Only graduate education in excess of the first two years of study may be used to qualify applicants for positions at grade GS                 You qualify for the GS    grade level if you possess one of the following                 Experience       One     year of specialized experience at the GS    grade level or equivalent performing duties such as             Providing technical assistance and support to senior level analysts and management on all phases of program management planning              Communicating budget recommendations to senior level analysts and management to develop and review budget processes for large and complex programs              Providing support to senior level analysts in the submission of budget requests  reports and briefing materials to management  and             Analyzing the distribution of funds and actual expenses against budget estimates for salaries  supplies  and services                  Qualification requirements must be met by the closing date of this announcement  Qualification claims will be subject to verification                 National Service Experience  i e   volunteer experience        Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience              Current or Former Political Appointees       The Office of Personnel Management  OPM  must authorize employment offers made to current or former political appointees  If you are currently  or have been within the last   years  a political Schedule A  Schedule C  Non career SES or Presidential Appointee employee in the Executive Branch  you must disclose this information to the Human Resources Office          The Department of Homeland Security encourages persons with disabilities to apply  to include persons with intellectual  severe physical or psychiatric disabilities  as defined by   CFR          u   and or Disabled Veterans with a compensable service connected disability of    percent or more as defined by   CFR                Veterans              Peace Corps              VISTA volunteers        and       persons with disabilities      possess a wealth of unique talents  experiences  and competencies that can be invaluable to the DHS mission  If you are a member of one of these groups  you may not have to compete with the public for federal jobs  To determine your eligibility for non competitive appointment and to understand the required documentation  click on the links above or contact the Servicing Human Resources Office listed at the bottom of this announcement     
