,job_title,job_url,job_summary,job_salary,job_location,job_quals
0,  Data Scientist  ,https://www.usajobs.gov//job/708958100,     Summary                About the Position         Position is located in the Office of the Deputy Assistant Secretary of the Army for Financial Operations and Information  DASA FOI   a Directorate of the Office of the Assistant Secretary of the Army for Financial Management and Comptroller OASA FM amp C   Join today and support the future of financial management analytics  DASA FOI is seeking a highly motivated and qualified applicant to fill our Data Scientist position located in Arlington  Virginia           Learn more about this agency       ,------132-368-------172-075-----------,         Arlington        ,     Qualifications       This is a Direct Hire Authority  DHA  solicitation utilizing the DHA for Certain Personnel of the DoD Workforce to recruit and appoint qualified candidates to positions in the competitive service              Who May Apply  US Citizens            In order to qualify  you must meet the education experience requirements described below  Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   You will receive credit for all qualifying experience  including volunteer experience  Your resume must clearly describe your relevant experience  if qualifying based on education  your transcripts will be required as part of your application  Additional information about transcripts is       in this document                    Basic Requirement for a Data Scientist             A  Degree  bachelor s degree  or higher degree  in mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position         Transcripts required at the time of application                  OR            B  Combination of Education and Experience  Courses equivalent to a major field of study     semester hours  as shown in paragraph A above  plus additional education or appropriate experience         Transcripts required at the time of application                  In addition to meeting the basic requirement above  to qualify for this position you must also meet the qualification requirements listed below                 Specialized Experience       One year of specialized experience which includes  developing algorithms and or tools to support data manipulation and processing  preparing reports and create deliver presentations to the organization  senior leaders  and other external groups  formulates analytical mathematical procedures to solve operational data problems          This definition of specialized experience is typical of work performed at the next lower grade level position in the federal service  GS         
1,  Data Scientist  ,https://www.usajobs.gov//job/708842100,     Summary                About the Position         Position is located in the Office of the Deputy Assistant Secretary of the Army for Financial Operations and Information  DASA FOI   a Directorate of the Office of the Assistant Secretary of the Army for Financial Management and Comptroller OASA FM amp C   Join today and support the future of financial management analytics  DASA FOI is seeking a highly motivated and qualified applicant to fill our Data Scientist position located in Arlington  Virginia           Learn more about this agency       ,------112-015-------145-617-----------,         Arlington        ,     Qualifications       This is a Direct Hire Authority  DHA  solicitation utilizing the DHA for Certain Personnel of the DoD Workforce to recruit and appoint qualified candidates to positions in the competitive service              Who May Apply  US Citizens            In order to qualify  you must meet the education and experience requirements described below  Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   You will receive credit for all qualifying experience  including volunteer experience  Your resume must clearly describe your relevant experience        your          transcripts will be required as part of your application        Additional information about transcripts is       in this document                    Basic Requirement for a Data Scientist             A  Degree  Bachelor s degree  or higher degree  in mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position         Transcripts required at the time of application                  OR            B  Combination of Education and Experience  Courses equivalent to a major field of study     semester hours  as shown in paragraph A above  plus additional education or appropriate experience         Transcripts required at the time of application                  In addition to meeting the basic requirement above  to qualify for this position you must also meet the qualification requirements listed below                 Specialized Experience       One year of specialized experience which includes working with complex data sets to perform analysis of volumes of data  presenting briefings regarding the progress and or results of projects studies utilizing graphs  charts  scorecards  and or dashboards  applying analytical and evaluative techniques to solve operational data problems and or perform cybersecurity analysis          This definition of specialized experience is typical of work performed at the next lower grade level position in the federal service  GS     Some federal jobs allow you to substitute your education for the required experience in order to qualify  For this job  you must meet the qualification requirement using experience alone  no substitution of education for experience is permitted        
2,  Data Scientist  ,https://www.usajobs.gov//job/711306400,     Summary                The Data Scientist serves within the Office of Financial and Labor Analysis  ALA  directorate  The position acts as technical specialist  member of a team or project manager team lead for larger work activities               Learn more about this agency       ,------79-225-------122-805-------------------------------------------------32-49----------------------------------------------------------------,         Washington        ,     Qualifications                IN ADDITION TO MEETING THE BASIC EDUCATIONAL REQUIREMENTS BELOW               Specialized experience is defined as           Experience extracting  filtering and cleansing data sets AND          Experience analyzing  collecting and recording data related to the effectiveness and accuracy of new data sources and data gathering techniques while ensuring compliance with policy           To qualify for this position you must demonstrate in your application that you possess at least one year of specialized experience equivalent to the FV G  FG GS    level  This experience is typically related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge  skills  and abilities to successfully perform the duties of the position  To be creditable  specialized experience must have been at least equivalent to the next lower level in the normal line of progression for the occupation in the organization           You should include relevant examples of the specialized experience in your work history  Errors or omissions may impact your rating or may result in you not being considered           Answer all questions to the best of your ability  DO NOT ASSUME THAT BECAUSE YOU HOLD  OR HAVE HELD THIS POSITION  YOU WILL AUTOMATICALLY BE FOUND ELIGIBLE  You may be asked to provide evidence or documentation that you have this type of experience later in the selection process  Your responses are subject to verification through job interviews  or any other information obtained during the application process  Any exaggeration of your experience or any attempt to conceal information can result in disqualification                 Applicants who fail to demonstrate possession of any of the above criteria           AND          who do not provide the required documentation will receive no further consideration for this position                Applicants may be asked to verify information on your application for employment with the FAA             All qualification requirements must be met by the closing date of this vacancy announcement             Eligible applicants meeting the minimum qualification requirements and or selective placement factor s   SPF  may be further evaluated on the Knowledge  Skills and Abilities  KSA  and or Quality Ranking Factor  QRF  listed in the announcement  Based on this evaluation  applicants will be placed in one of the following categories      score order      category grouping      alphabetical  or     priority grouping  and referred to the selecting official for selection consideration        
3,  Data Scientist  ,https://www.usajobs.gov//job/711306600,     Summary                The Data Scientist serves within the Office of Financial and Labor Analysis  ALA  directorate  The position acts as technical specialist  member of a team or project manager team lead for larger work activities  The work of the position involves analyzing  researching and studying employment levels  scheduling  and workforce planning to support several financial analysis initiatives for the Federal Aviation Administration s workforce               Learn more about this agency       ,------95-293-------147-691-------------------------------------------------32-49----------------------------------------------------------------,         Washington        ,     Qualifications                IN ADDITION TO MEETING THE BASIC EDUCATIONAL REQUIREMENTS BELOW               Specialized experience is defined as           Experience collecting  recording and analyzing data information AND          Experience with mathematical  statistical studies  and analysis of varying amounts of information to discover trends and patterns for solving problems           To qualify for this position you must demonstrate in your application that you possess at least one year of specialized experience equivalent to the FV H  FG GS    level  This experience is typically related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge  skills  and abilities to successfully perform the duties of the position  To be creditable  specialized experience must have been at least equivalent to the next lower level in the normal line of progression for the occupation in the organization           You should include relevant examples of the specialized experience in your work history  Errors or omissions may impact your rating or may result in you not being considered           Answer all questions to the best of your ability  DO NOT ASSUME THAT BECAUSE YOU HOLD  OR HAVE HELD THIS POSITION  YOU WILL AUTOMATICALLY BE FOUND ELIGIBLE  You may be asked to provide evidence or documentation that you have this type of experience later in the selection process  Your responses are subject to verification through job interviews  or any other information obtained during the application process  Any exaggeration of your experience or any attempt to conceal information can result in disqualification                 Applicants who fail to demonstrate possession of any of the above criteria           AND          who do not provide the required documentation will receive no further consideration for this position                Applicants may be asked to verify information on your application for employment with the FAA             All qualification requirements must be met by the closing date of this vacancy announcement             Eligible applicants meeting the minimum qualification requirements and or selective placement factor s   SPF  may be further evaluated on the Knowledge  Skills and Abilities  KSA  and or Quality Ranking Factor  QRF  listed in the announcement  Based on this evaluation  applicants will be placed in one of the following categories      score order      category grouping      alphabetical  or     priority grouping  and referred to the selecting official for selection consideration        
4,  Data Scientist  ,https://www.usajobs.gov//job/709580700,     Summary           This position is located in the Department of Health  amp  Human Services  HHS   Centers for Medicare  amp  Medicaid Services  CMS   Center for Medicare  Medicare Drug Rebate and Negotiations Group  MDRNG   Division of Data Assessment and Analytics  DDAA              As a Data Scientist  GS          you will be designing  developing  and implementing the analytical  statistical  and programming mechanisms necessary to collect  organize  analyze  and interpret unique and highly specialized data sets           Learn more about this agency       ,------84-546-------109-908------------------------------------------------------------------------,         Anywhere in the U S   remote job         ,     Qualifications           ALL QUALIFICATION REQUIREMENTS MUST BE MET BY THE CLOSING DATE OF THIS ANNOUNCEMENT             Your resume must include detailed information as it relates to the responsibilities and specialized experience for this position  Evidence of copying and pasting directly from the vacancy announcement without clearly documenting supplemental information to describe your experience will result in an ineligible rating  This will prevent you from receiving further consideration                 In order to qualify for the GS           you must meet the following  You must demonstrate in your resume at least one year     weeks  of qualifying specialized experience equivalent to the GS    grade level in the Federal government  obtained in either the private or public sector  to include     collaborating with internal or external stakeholders to review specialized healthcare data and recommend solutions  and     utilizing at least one of the following programming languages  SAS  VBA  Python  SQL  or R to develop approaches or methodologies for collection  analysis  and interpretation of data  and     utilizing business intelligence tools  e g   Tableau  PowerBI   or geographic information systems  e g   ESRI ArcGIS  to generate reports or other forms of data visualizations that convey data analyses to technical and non technical audiences          Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience     
5,  Data Scientist  ,https://www.usajobs.gov//job/708422100,     Summary           The Center for Devices and Radiological Health  CDRH  assures that patients and providers have timely and continued access to safe  effective  and high quality medical devices and safe radiation emitting products   CDRH facilitates medical device innovation by advancing regulatory science  providing industry with predictable  consistent  transparent  and efficient regulatory pathways  and assuring consumer confidence in devices marketed in the U S               Learn more about this agency       ,------71-099-------109-908------------------------------------------------------------------------------------------------------------------------------------------------------------------------,         Anywhere in the U S   remote job         ,     Qualifications           The position of Data Scientist falls under the                        occupational series  To qualify for this position at grade      GS               you must meet         Time in Grade        requirements by       pm EST on                            Minimum Qualifications              The following          Basic Qualification Requirements for a Data Scientist  GS                    must be met        in order to qualify for this position                   Degree  Mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position        Transcripts must be provided          OR         Combination of education and experience  Courses equivalent to a major field of study     semester hours  as shown in paragraph A above  plus additional education or appropriate experience        Transcripts must be provided                 In addition to meeting the basic entry qualification requirements  applicants must have specialized experience          For the GS    level  you must possess one year of experience  equivalent to at least the GS    level in the Federal service  Experience includes             Performing data and information management  software development  utilization  statistical analysis and or modeling              Conducting in depth analysis of data and disseminating the results of those analyses              Independently working with large  complex  data sets in excess of     million rows              High level proficiency with creating one time and sustainable raw and aggregated data  queries  reports  and extracts  from various systems of record including but not limited to data accessible via OBIEE  Oracle Business Intelligence Enterprise Edition   SAP Business Objects  and or Salesforce  and             High level proficiency with Excel Power Query or Microsoft Power BI              For the GS    level  you must possess one year of experience  equivalent to at least the GS    level in the Federal service  Experience includes             Analyzing and evaluating the effectiveness of organization based on data findings to improve operations              Combining  analyzing  and interpreting large and or complex data sets to develop data driven organizational solutions              Serving as an authority in handling large  complex  data sets in excess of     million rows              Master level skill in creating one time and sustainable raw and aggregated data  queries  reports  and extracts  from various systems of record including but not limited to data accessible via OBIEE  Oracle Business Intelligence Enterprise Edition   SAP Business Objects  and or Salesforce  and             Master level skill with Excel Power Query or Microsoft Power BI                     In accordance with Office of Personnel Management policy  federal employees are assumed to have gained experience by performing duties and responsibilities appropriate for their official series and grade level as described in their position description  Experience that would not normally be part of the employee s position is creditable  however  when documented by satisfactory evidence  such as a signed memorandum from the employee s supervisor or an         SF           or SF    documenting an official detail or other official assignment  The documentation must indicate whether the duties were performed full time or  if part time  the percentage of times the other duties were performed  It is expected that this documentation is included in the employee s official personnel record  In order to receive credit for experience in your resume that is not within the official series and grade level of your official position  you must provide a copy of the appropriate documentation of such experience as indicated above             If you are applying based on some other qualifying eligibility  i e  you are not applying as a current Federal employee   you must meet the specific requirements of the eligibility you are claiming  and must have sufficient past experience to demonstrate that you are minimally qualified for this position        See         Unique Hiring Paths        on USAJOBS for more information about various ways you may be eligible to apply                 PHS Commissioned Corps Officers interested in performing the duties of this position within the Commissioned Corps may apply online to this announcement  Candidates will be referred to  CC  personnel and not as candidates for conversion to a permanent career or career conditional appointment                 NOTE       It is your responsibility to ensure your responses and appropriate documentation is submitted prior to the closing date  To verify your application is complete  log into your USAJOBS account        https   my usajobs gov Account Login        select the       Application Status      link and then select the       M               ore        Information      link for this position  The Details page will display the status of your application  the documentation received and processed  and any correspondence the agency has sent related to this application              IN DESCRIBING YOUR EXPERIENCE  PLEASE BE CLEAR AND SPECIFIC  WE WILL NOT MAKE ASSUMPTIONS REGARDING YOUR EXPERIENCE  Qualifications are based on breadth level of experience  In addition to describing duties performed  applicants must provide the exact dates of each period of employment  from MM YY to MM YY  and the number of hours worked per week if part time  As qualification determinations cannot be made when resumes do not include the required information  failure to provide this information may result in disqualification  Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume                 Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience                 You must submit         supporting documentation        to verify your eligibility to apply for this vacancy  For most applicants  an         SF           will be required  However  if you are applying as a         Veteran          individual with a         qualifying disability          or a         displaced employee          you will be required to provide other supporting documents as applicable          See the Required Documents section for details              Be sure that any files you upload as supporting documentation are free of security or compression features which render such documents unreadable to our system     
6,  DATA SCIENTIST  ,https://www.usajobs.gov//job/710110600,     Summary           You will serve as a DATA SCIENTIST in the   Business Directorate  Command Analytics Office  CAO   NAVAL FACILITIES ENGINEERING SYSTEMS COMMAND  Headquarters of NAVFAC OSF                While this position is administratively attached to the Headquarters  it may be filled by a candidate at any of the locations shown                This is a RE ADVERTISEMENT of Announcement Number ST             LMB  Applicants that have previously applied NEED to re apply to this announcement           Learn more about this agency       ,------116-393-------183-500---------------------------------------------------------------------------------------------------------------------------------------------------,         Naval Post Graduate School  Monterey  CA        ,     Qualifications       In addition to the Basic Requirements for this position  your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS    grade level or pay band in the Federal service or equivalent experience in the private or public sector performing the following duties             Using mathematical and statistical methodologies to develop processes utilized to analyze data          Conducting studies and developing and implementing data modeling tools  and         Preparing and presenting data visualizations for metrics and measures         Additional qualification information can be found from the following Office of Personnel Management website           https   www opm gov policy data oversight classification qualifications general schedule qualification standards  url List by Occupational Series            Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment     
7,  Data Scientist  ,https://www.usajobs.gov//job/710897600,     Summary           This is a bargaining unit position with AFGE Local      This is not a  drug  testing designated position  TDP                Learn more about this agency       ,------132-368-------172-075------------------------------------------------------------------------------------------------14------01----132-368------,         Washington        ,     Qualifications                GS                       Specialized Experience       One year of specialized experience  equivalent to the GS    grade level in the Federal service  obtained in either the private or public sector             Developing and managing complex data analysis  program evaluation  or research projects        AND               Collecting primary data for research        AND               Analyzing and interpreting data using statistical software packages        AND               Managing project schedules for complex organizations        AND               Interpreting a portfolio of evidence to make recommendations on program improvement              These qualifications must be clearly referenced in your resume             AND            Education       Completed a full   year course of study in an accredited college or university leading to a bachelor s or higher degree in mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position  You MUST submit transcripts  official or unofficial  with your application or you will be rated ineligible for consideration  If selected  official transcripts will be required  Transcripts must include the name of the college or university and date the degree was conferred              OR            Combination       Combination of education and experience  Courses equivalent to a major field of study     semester hours  as shown in  A   above  plus additional education or appropriate experience  Transcripts  official or unofficial  must be submitted in support of this response  If selected  official transcripts will be required         Additional information on the qualification requirements is outlined in the OPM Qualifications Standards Handbook of General Schedule Positions  It is available for your review on OPM s Qualifications web site              Data Science Series                 Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g  Peace Corps  AmeriCorps  and other organizations  e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience              TIME IN GRADE       If you are a current career or career conditional federal employee applying for promotion under Merit Promotion you must have completed a minimum of    weeks in positions at the next level lower than the position being filled              All qualification requirements must be met by       pm  Eastern Time  on                   
8,  Data Scientist  ,https://www.usajobs.gov//job/709571700,     Summary           This position is located in the United States Mint  The branch is responsible for improving the overall integration of the United States Mint s planning and management control processes  developing processes for defining bureau strategic objectives and integrating them in the bureau programming and budgeting process  and providing for continuous analysis  performance evaluation  and diagnosis to ensure progress toward those strategic objectives           Learn more about this agency       ,------132-368-------172-075-----------,         Washington        ,     Qualifications       For the GS     you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS   grade level in the Federal service  Specialized experience or General experience for this position includes                Locating  extracting  transforming and loading data from multiple sources for analysis  AND          Using statistical analysis to develop  manage  and maintain models  dashboards  and reports  AND          Creating  updating  and distributing data visualizations using business intelligence software packages             In addition to the above requirements  you must meet the following       time in grade requirement       For the GS    you must have been at the GS   level for    weeks     
9,  Data Scientist  ,https://www.usajobs.gov//job/710743700,     Summary           This position is located in the National Oceanic and Atmospheric Administration  NOAA   Office of Oceanic and Atmospheric Research  OAR   Climate Program Office  CPO   with one vacancy in Silver Spring  MD             This position is also announced under vacancy number OAR CPO             DE  which is open to all US Citizens or Nationals  You must apply to both announcements if you want to be considered for both           Learn more about this agency       ,------78-592-------172-075-----------,         Silver Spring        ,     Qualifications           Qualification requirements in the vacancy announcements are based on the U S  Office of Personnel Management  OPM  Qualification Standards Handbook  which contains federal qualification standards  This handbook is available on the Office of Personnel Management s website located at          https   www opm gov policy                          BASIC REQUIREMENTS         This position has a positive Education Requirement in addition to at least one year of Specialized Experience OR substitution of education for experience OR combination  if applicable  in order to be found minimally qualified  Transcripts must be submitted with your application package  You MUST meet the following requirements                        To qualify for the      series                           EDUCATION                      A  Degree         Mathematics  statistics  computer science  data science or field directly related to the position  The degree must be in a major field of study  at least at the baccalaureate level  that is appropriate for the position         OR             B  Combination of education and experience          Courses equivalent to a major field of study     semester hours  as shown in paragraph A above  plus additional education or appropriate experience             AND                 SPECIALIZED EXPERIENCE         Applicants must possess one year of specialized experience equivalent in difficulty and responsibility to the next lower grade level in the Federal Service  Specialized experience is experience that has equipped the applicant with the particular competencies knowledge  skills and abilities to successfully perform the duties of the position  This experience need not have been in the federal government             Experience refers to paid and unpaid experience  including volunteer work done through National Service programs  e g   Peace Corps  AmeriCorps  and other organizations e g   professional  philanthropic  religious  spiritual  community  student  social   Volunteer work helps build critical competencies  knowledge  and skills and can provide valuable training and experience that translates directly to paid employment  You will receive credit for all qualifying experience  including volunteer experience                        To qualify at the ZP   or GS    level                               SPECIALIZED EXPERIENCE         In addition to meeting the Basic Requirements above  applicants must also possess one full year     weeks  of specialized experience equivalent to the ZP   or GS    in the Federal service  Specialized experience MUST include all of the following                Participating in data management and statistical analysis and modeling              Providing assistance in software development and user support  and             Serving as an independent researcher under general direction and guidance on project objectives  limits  work plans  and conclusions  assessing accuracy and reliability               OR             SUBSTITUTION OF EDUCATION           years of progressively higher level graduate education leading to a Ph D  degree in a directly related field or Ph D  in a directly related field or equivalent doctoral degree in a directly related field         OR             COMBINATION OF EDUCATION AND EXPERIENCE         A combination of related graduate education and specialized experience as described above  Note  Only graduate education in excess of two years is qualifying for combination                      To qualify at the ZP   or GS    level                           SPECIALIZED EXPERIENCE         In addition to meeting the Basic Requirements above  applicants must also possess one full year     weeks  of specialized experience equivalent to the ZP   or GS    in the Federal service  Specialized experience MUST include all of the following                Utilizing programming languages such as R  Python  and or geospatial analysis tools  such as in ArcGIS Pro to develop approaches or methodologies for collection  analysis  and interpretation of data              Facilitating the integration of technologies by analyzing data and providing recommendations in a research and development environment  and             Analyzing public health  climate weather  demographic  and other structured and unstructured data using data science methods and tools such as Artificial Intelligence   Machine Learning and or cloud computing            
