"job_id","job_title","location","salary_currency","salary_min","salary_max","job_quals","website"
"40879"," data analyst",NA,"USD",80000,110000,"A/B testing; Data Analytics; Data Studio; Data warehouse; Engineering; Looker; Metabase; PostgreSQL; Python; Redash; SQL; Superset; Tableau","ai-jobs.net"
"40788"," ai application developer",NA,"USD",20000,30000,"Chatbots; ChatGPT; GPT; Research","ai-jobs.net"
"40787"," ai content creator",NA,"USD",20000,30000,"AI content; Anyword; Marketmuse; Research; Wordtune","ai-jobs.net"
"40786"," ai video producer",NA,"USD",20000,30000,"AI video; Pictory; Research","ai-jobs.net"
"40785"," ai artist",NA,"USD",20000,30000,"AI art; DALL-E; Midjourney; Research; Stable Diffusion","ai-jobs.net"
"40784"," ai writing creator",NA,"USD",20000,30000,"Copywriting; Prompt writing; Research; UX","ai-jobs.net"
"41775"," lead machine learning engineer","United States","USD",175000,2e+05,"Clojure; Computer Science; Data visualization; Deep Learning; E-commerce; GPU; Linear algebra; Machine Learning; Mathematics; ML models; PyTorch; Research; Statistics; TensorFlow","ai-jobs.net"
"41469"," senior research engineer llms privacy",NA,"EUR",80000,1e+05,"Architecture; Engineering; GitHub; GPU; HPC; LLMs; Machine Learning; Model inference; NLP; Privacy; Research; Security; Transformers","ai-jobs.net"
"41075"," university professor of artificial intelligence in protein science","Germany","EUR",60000,89000,"Biochemistry; Biology; Chemistry; Machine Learning; Research; Teaching","ai-jobs.net"
"40454"," quantitative researcher machine learning ai","Netherlands","USD",2e+05,250000,"Computer Science; Deep Learning; Economics; Engineering; Finance; Machine Learning; Mathematics; PhD; Physics; Python; Research; Statistics; Testing; Trading Strategies","ai-jobs.net"
"39437"," research scientist","United States","USD",70000,85000,"Computer Science; Deep Learning; Engineering; Machine Learning; Mathematics; PhD; Python; Research; Scikit-learn; Statistics","ai-jobs.net"
"38846"," teaching professor and academic director of msba program","United States","USD",120000,150000,"Business Analytics; Data Analytics; Teaching","ai-jobs.net"
"38514"," director scientific data division","United States","USD",220000,457000,"Biology; Classification; Computer Science; Data management; Engineering; Finance; Machine Learning; Mathematics; PHP; Physics; Research; Security","ai-jobs.net"
"38424"," assistant professor position","United States","USD",60000,NA,"Engineering; Industrial; PhD; Research; Teaching","ai-jobs.net"
"37995"," assistant adjunct professor data science school of information","United States","USD",82000,107000,"Computer Science; Economics; Engineering; Machine Learning; NLP; PhD; Research; Teaching","ai-jobs.net"
"41900"," senior data engineer","Israel","USD",115000,180000,"Airflow; API Development; APIs; AWS; Big Data; Data pipelines; Engineering; ETL; Hadoop; NoSQL; Pipelines; Python; Scala; Spark; SQL","ai-jobs.net"
