"","job_id","skill"
"1","40879","A/B testing"
"2","40879","Data Analytics"
"3","40879","Data Studio"
"4","40879","Data warehouse"
"5","40879","Engineering"
"6","40879","Looker"
"7","40879","Metabase"
"8","40879","PostgreSQL"
"9","40879","Python"
"10","40879","Redash"
"11","40879","SQL"
"12","40879","Superset"
"13","40879","Tableau"
"14","40788","Chatbots"
"15","40788","ChatGPT"
"16","40788","GPT"
"17","40788","Research"
"18","40787","AI content"
"19","40787","Anyword"
"20","40787","Marketmuse"
"21","40787","Research"
"22","40787","Wordtune"
"23","40786","AI video"
"24","40786","Pictory"
"25","40786","Research"
"26","40785","AI art"
"27","40785","DALL-E"
"28","40785","Midjourney"
"29","40785","Research"
"30","40785","Stable Diffusion"
"31","40784","Copywriting"
"32","40784","Prompt writing"
"33","40784","Research"
"34","40784","UX"
"35","41775","Clojure"
"36","41775","Computer Science"
"37","41775","Data visualization"
"38","41775","Deep Learning"
"39","41775","E-commerce"
"40","41775","GPU"
"41","41775","Linear algebra"
"42","41775","Machine Learning"
"43","41775","Mathematics"
"44","41775","ML models"
"45","41775","PyTorch"
"46","41775","Research"
"47","41775","Statistics"
"48","41775","TensorFlow"
"49","41469","Architecture"
"50","41469","Engineering"
"51","41469","GitHub"
"52","41469","GPU"
"53","41469","HPC"
"54","41469","LLMs"
"55","41469","Machine Learning"
"56","41469","Model inference"
"57","41469","NLP"
"58","41469","Privacy"
"59","41469","Research"
"60","41469","Security"
"61","41469","Transformers"
"62","41075","Biochemistry"
"63","41075","Biology"
"64","41075","Chemistry"
"65","41075","Machine Learning"
"66","41075","Research"
"67","41075","Teaching"
"68","40454","Computer Science"
"69","40454","Deep Learning"
"70","40454","Economics"
"71","40454","Engineering"
"72","40454","Finance"
"73","40454","Machine Learning"
"74","40454","Mathematics"
"75","40454","PhD"
"76","40454","Physics"
"77","40454","Python"
"78","40454","Research"
"79","40454","Statistics"
"80","40454","Testing"
"81","40454","Trading Strategies"
"82","39437","Computer Science"
"83","39437","Deep Learning"
"84","39437","Engineering"
"85","39437","Machine Learning"
"86","39437","Mathematics"
"87","39437","PhD"
"88","39437","Python"
"89","39437","Research"
"90","39437","Scikit-learn"
"91","39437","Statistics"
"92","38846","Business Analytics"
"93","38846","Data Analytics"
"94","38846","Teaching"
"95","38514","Biology"
"96","38514","Classification"
"97","38514","Computer Science"
"98","38514","Data management"
"99","38514","Engineering"
"100","38514","Finance"
"101","38514","Machine Learning"
"102","38514","Mathematics"
"103","38514","PHP"
"104","38514","Physics"
"105","38514","Research"
"106","38514","Security"
"107","38424","Engineering"
"108","38424","Industrial"
"109","38424","PhD"
"110","38424","Research"
"111","38424","Teaching"
"112","37995","Computer Science"
"113","37995","Economics"
"114","37995","Engineering"
"115","37995","Machine Learning"
"116","37995","NLP"
"117","37995","PhD"
"118","37995","Research"
"119","37995","Teaching"
"120","41900","Airflow"
"121","41900","API Development"
"122","41900","APIs"
"123","41900","AWS"
"124","41900","Big Data"
"125","41900","Data pipelines"
"126","41900","Engineering"
"127","41900","ETL"
"128","41900","Hadoop"
"129","41900","NoSQL"
"130","41900","Pipelines"
"131","41900","Python"
"132","41900","Scala"
"133","41900","Spark"
"134","41900","SQL"
"135","41922","Architecture"
"136","41922","AWS"
"137","41922","Business Intelligence"
"138","41922","Elasticsearch"
"139","41922","Engineering"
"140","41922","Machine Learning"
"141","41922","ML models"
"142","41922","Open Source"
"143","41922","Python"
"144","41922","Research"
"145","41922","SageMaker"
"146","41922","Scala"
"147","41922","Spark"
"148","41922","SQL"
"149","41922","Streaming"
"150","41906","Agile"
"151","41906","Airflow"
"152","41906","AWS"
"153","41906","Azure"
"154","41906","BigQuery"
"155","41906","CI/CD"
"156","41906","Data warehouse"
"157","41906","Engineering"
"158","41906","ETL"
"159","41906","GCP"
"160","41906","Git"
"161","41906","Kafka"
"162","41906","Kubernetes"
"163","41906","Machine Learning"
"164","41906","Pipelines"
"165","41906","Python"
"166","41906","Redshift"
"167","41906","Scala"
"168","41906","Spark"
"169","41906","Streaming"
"170","41876","Airflow"
"171","41876","BigQuery"
"172","41876","Consulting"
"173","41876","GCP"
"174","41876","GitHub"
"175","41876","Google Cloud"
"176","41876","Python"
"177","41876","R"
"178","41876","R&D"
"179","41876","SQL"
"180","41876","Tableau"
"181","41916","Computer Science"
"182","41916","Data management"
"183","41916","Data Mining"
"184","41916","Data pipelines"
"185","41916","Data quality"
"186","41916","Engineering"
"187","41916","ETL"
"188","41916","Pipelines"
"189","41916","Python"
"190","41916","Spark"
"191","41916","SQL"
"192","41916","Testing"
"193","41892","APIs"
"194","41892","CI/CD"
"195","41892","Data Analytics"
"196","41892","Data management"
"197","41892","DevOps"
"198","41892","GitLab"
"199","41892","Machine Learning"
"200","41892","NLP"
"201","41892","NoSQL"
"202","41892","Python"
"203","41892","Security"
"204","41892","SQL"
"205","41892","Statistics"
"206","41892","Testing"
"207","41892","Unstructured data"
"208","41870","Business Intelligence"
"209","41870","Computer Science"
"210","41870","Data analysis"
"211","41870","Data Analytics"
"212","41870","Data Mining"
"213","41870","Data visualization"
"214","41870","Economics"
"215","41870","Machine Learning"
"216","41870","Mathematics"
"217","41870","Pandas"
"218","41870","Power BI"
"219","41870","Privacy"
"220","41870","Python"
"221","41870","R"
"222","41870","Scala"
"223","41870","SQL"
"224","41870","Statistics"
"225","41870","Tableau"
"226","41912","Agile"
"227","41912","APIs"
"228","41912","Architecture"
"229","41912","AWS"
"230","41912","Computer Science"
"231","41912","Consulting"
"232","41912","Data Mining"
"233","41912","Data pipelines"
"234","41912","Engineering"
"235","41912","ETL"
"236","41912","Flink"
"237","41912","GCP"
"238","41912","Google Cloud"
"239","41912","Hadoop"
"240","41912","Linux"
"241","41912","Looker"
"242","41912","Machine Learning"
"243","41912","Mathematics"
"244","41912","ML models"
"245","41912","Open Source"
"246","41912","Pipelines"
"247","41912","Python"
"248","41912","R&D"
"249","41912","Research"
"250","41912","Scrum"
"251","41912","Spark"
"252","41912","SQL"
"253","41912","Statistics"
"254","41912","Tableau"
"255","41912","Testing"
"256","41920","Agile"
