"job_id","job_title","location","salary_currency","salary_min","salary_max","website","highest_ed","years_exp","continent","country","skills"
"40879","data analyst",NA,"USD",80000,110000,"ai-jobs.net",NA,5,NA,NA,"a/b testing, data analytics, data studio, data warehouse, engineering, looker, metabase, postgresql, python, redash, sql, superset, open source, tableau, scripting"
"40788","ai application developer",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"chatbots, chatgpt, gpt, research"
"40787","ai content creator",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"ai content, anyword, marketmuse, research, wordtune"
"40786","ai video producer",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"ai video, pictory, research"
"40785","ai artist",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"ai art, dall e, midjourney, research, stable diffusion"
"40784","ai writing creator",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"copywriting, prompt writing, research, ux"
"41775","lead machine learning engineer","United States","USD",175000,2e+05,"ai-jobs.net","phd",3,"Americas","United States","clojure, computer science, data visualization, deep learning, e commerce, gpu, linear algebra, machine learning, mathematics, ml models, pytorch, research, statistics, leadership, communication, tensorflow, problem solving, data preprocessing, phd, data science"
"41469","senior research engineer llms privacy",NA,"USD",84800,106000,"ai-jobs.net",NA,NA,NA,NA,"architecture, engineering, github, gpu, hpc, llms, machine learning, model inference, nlp, privacy, research, security, transformers, communication, collaboration, teamwork"
"41075","university professor of artificial intelligence in protein science","Germany","USD",63600,94340,"ai-jobs.net","master",NA,"Europe","Germany","biochemistry, biology, chemistry, machine learning, research, teaching, leadership"
"40454","quantitative researcher machine learning ai","Netherlands","USD",2e+05,250000,"ai-jobs.net","phd",NA,"Europe","Netherlands","computer science, deep learning, economics, engineering, finance, machine learning, mathematics, phd, physics, python, research, statistics, testing, collaboration, trading strategies, problem solving, c++"
"39437","research scientist","United States","USD",70000,85000,"ai-jobs.net","phd",3,"Americas","United States","computer science, deep learning, engineering, machine learning, mathematics, phd, python, research, scikit learn, data science, data preprocessing, collaboration"
"38846","teaching professor and academic director of msba program","United States","USD",120000,150000,"ai-jobs.net","phd",NA,"Americas","United States","business analytics, data analytics, teaching, data driven decision making, collaboration, leadership, data science, phd"
"38514","director scientific data division","United States","USD",220000,457000,"ai-jobs.net","phd",10,"Americas","United States","biology, classification, computer science, data management, engineering, finance, machine learning, mathematics, php, physics, research, data science, leadership, security, data analysis, communication, phd, creativity, problem solving"
"38424","assistant professor position","United States","USD",60000,NA,"ai-jobs.net","phd",NA,"Americas","United States","engineering, industrial, phd, research, teaching"
"37995","assistant adjunct professor data science school of information","United States","USD",82000,107000,"ai-jobs.net","phd",NA,"Americas","United States","computer science, economics, engineering, machine learning, nlp, phd, research, data science, data engineering, natural language processing, teaching, collaboration"
"41900","senior data engineer","Israel","USD",115000,180000,"ai-jobs.net",NA,4,"Asia","Israel","airflow, api development, apis, aws, big data, data pipelines, engineering, etl, hadoop, nosql, pipelines, python, scala, spark, data processing, programming, data engineering, sql, data modeling, curiosity"
"41922","member of technical staff machine learning","India","USD",55000,102000,"ai-jobs.net","bachelor",NA,"Asia","India","architecture, aws, business intelligence, elasticsearch, engineering, machine learning, ml models, open source, python, research, sagemaker, scala, spark, sql, data science, streaming, data processing, critical thinking, problem solving"
"41906","senior data engineer","Sweden","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","Sweden","agile, airflow, aws, azure, bigquery, ci/cd, data warehouse, engineering, etl, gcp, git, kafka, kubernetes, machine learning, pipelines, python, redshift, scala, spark, communication, programming, problem solving, collaboration, streaming"
"41876","data analyst strategy operations","France","USD",42000,60000,"ai-jobs.net",NA,NA,"Europe","France","airflow, bigquery, consulting, gcp, github, google cloud, python, r, r&d, sql, travel, tableau"
"41916","senior data engineer","South Africa","USD",73000,120000,"ai-jobs.net","master",NA,"Africa","South Africa","computer science, data management, data mining, data pipelines, data quality, engineering, etl, pipelines, python, spark, sql, data engineering, automation, testing, data processing, programming, problem solving"
"41892","data scientist","Spain","USD",56000,120000,"ai-jobs.net",NA,NA,"Europe","Spain","apis, ci/cd, data analytics, data management, devops, gitlab, machine learning, nlp, nosql, python, security, sql, statistics, testing, data collection, data science, api, programming, automation, optimization, unstructured data, natural language processing"
