"job_id","job_title","location","salary_currency","salary_min","salary_max","job_quals","website"
567643,"Data Analystâ Racial Profiling and Biased Policing Investigations Unit","100 Church St., N.Y.","USD",75504,94761,"â¢ At least one year of academic or professional research experience in the fields of criminology, sociology, economics, psychology, political science, public policy and/or public health, with a focus on policing or criminal justice issues â¢ Exceptional skills and experience in quantitative research, particularly multivariate statistical methods for analyzing racial, gender and/or other demographic disparities in large data sets â¢ Experience managing and manipulating data in at least some of the following: SPSS, R, Python, Stata, SAS, Microsoft Office Suite. â¢ Experience with data security systems and procedures â¢ Familiarity with data visualization and visualization software, such as Tableau â¢ Ability to communicate complex statistical data and concepts to a variety of audiences in e-mails, memos, reports, slides, and oral presentations â¢ Skill and experience working collaboratively and productively as a part of a team â¢ Strong organizational skills, attention to detail, professional judgment, and initiative â¢ Ability to produce high quality work product under tight deadlines â¢ Strong commitment to public service","data.cityofnewyork.us"
559768,"Data Scientist","55 Water St Ny Ny","USD",75504,94761,"Demonstrated experience producing clear and effective data visualizations is highly desirable, as is experience explaining complex, nuanced analyses to nontechnical and unacquainted audiences. Ability to relate complex trends in the data to larger policy issues is very important, as is being able to work with the operations and planning team to tailor data analysis and products to their needs. Familiarity with pyspark is desirable, as is experience with Power BI and/or JavaScript, including leaflet, or the folium package in Python. Preference will be given to candidates who have demonstrated experience or interest in transportation planning, logistics, bike share, micro mobility, cycling, and working with or in the public sector.","data.cityofnewyork.us"
567328,"Senior Data Analyst,  Bureau of Environmental Sciences and Engineering","30-30 47TH AVE","USD",75504,86830,"Experience with leading complex data-management systems, developing informatics reporting tools for field operations and research driven activity, integrating data across multiple data-sources, applying statistical and evaluation measures to complex data, report writing. Experience with GIS, tableau, R, Python, SAS and VBA. Familiarity with establishing complex data architectures and working with XML and SQL.","data.cityofnewyork.us"
546424,"Data Analyst","9 Metrotech Center, Brooklyn N","USD",75504,94761,"Good working knowledge of Microsoft products including Excel, Access and Visio.  Working experience with Oracle based databases/TOAD software or SQL.  Knowledge of statistical software R/SAS/SPSS will be a plus.","data.cityofnewyork.us"
546424,"Data Analyst","9 Metrotech Center, Brooklyn N","USD",75504,94761,"Good working knowledge of Microsoft products including Excel, Access and Visio.  Working experience with Oracle based databases/TOAD software or SQL.  Knowledge of statistical software R/SAS/SPSS will be a plus.","data.cityofnewyork.us"
547005,"DATA SCIENTIST","1 Metro Tech, Brooklyn Ny","USD",75504,94761,"â¢	Commitment to the mission of advancing greater equality and opportunity.  â¢	Experience working closely with communities who are engaging with public services and programs and/or have lived experience engaging with public services and programs.  â¢	Experience in policy, government, or non-profit, in particular with low-income and vulnerable youth and families, is a plus.  â¢	Experience using Python, SQL, R, or other tools for analyzing large data sets.  â¢	Comfort with pivoting between projects that require independent accountability and projects that involve cross-team collaboration.  â¢	Ability to think critically and detail-oriented.  â¢	Strong communication and presentation skills, both verbal and written.","data.cityofnewyork.us"
555920,"Database Developer","55 Water St Ny Ny","USD",75000,130000,"4 years of experience in application data modeling and MS-SQL Server administration/utilities/ tools; Microsoft Database Developer certification; proficiency in supporting MS-SQL Server 2017/2019 databases in high availability environments with intimate knowledge of SQL/T-SQL; demonstrated knowledge of designing/ developing/ integrating databases, data warehouses and multidimensional databases in MS-SQL Server; ability to write and optimize complex SQL queries, procedures and functions; familiarity with SSRS, SSAS, SSIS and data warehousing concepts; experience with database replication techniques.","data.cityofnewyork.us"
546930,"Citywide Doula Initiative Database Analyst, Bureau of Brooklyn Neighborhood Health","485 Throop Ave Brooklyn","USD",71707,85000,"â¢	Experience working in database administration with a nonprofit or government organization â¢	Experience involving SQL-based database programming, report creation in LogiXML and Penelope, and form creation in .NET â¢	Demonstrated experience working with large datasets (cleaning data, etc.) â¢	Presentation and training skills; ability to collaborate with others in soliciting feedback, problem-solving, etc.  â¢	Interest in and commitment to reproductive justice, birth equity, and health issues in urban, underserved neighborhoods â¢	Superb attention to detail â¢	Positive attitude, strong work ethic, and excellent customer-service skills","data.cityofnewyork.us"
565279,"Senior Data Engineer","55 Water St Ny Ny","USD",0,140000,"â¢	Professional experience working with hundreds of billions of records in a distributed compute environment. â¢	Minimum of (3) yearsâ professional experience in Hortonworks Data Platform (HDP), Hortonworks Data Flow (HDF), and/or Cloudera Data Platform (CDP)/Cloudera Data Flow (CDF). â¢	3-5 years of experience with Kafka, HBase, Hive, Nifi, Spark. â¢	3-5 years of data lake and data warehouse design. â¢	Experience working with geospatial data at scale. â¢	Fluency in Python, Scala, Java, and SQL. â¢	Public cloud experience (AWS/GCP/Azure), certification a plus. â¢	Proven professional experience migrating on-premise big data infrastructure to cloud based solutions. â¢	Excellent organizational and interpersonal skills. â¢	Ability to effectively prioritize and execute tasks in a high-pressure environment. â¢	Ability to understand and gather client requirements as well as provide a solution that meets or exceeds client expectations.","data.cityofnewyork.us"
572795,"Data Scientist","Arsenal 830 Fifth Ave, New Yor","USD",95000,105000,"1.	Successful track record of leading and executing a broad range of data science projects through their entire cycles on tight timelines.  2.	Strong statistical and geospatial analysis skills. Experience with data mining, time-series analyses, machine learning algorithms, decision models, prediction and experimental research and statistical design.  3.	Experience operationalizing business and policy problems through mathematical, statistical and computational techniques. Strong ability to translate business and management challenges into data analytics problems.  4.	Demonstrated curiosity, desire and ability to cut to the nature of problems by asking the right questions. High level of proficiency in communicating and presenting both verbally and visually to stakeholders. Ability to clearly convey complex concepts in plain language.  5.	Fluency in analytical programming, open source tools, version control. Demonstrated expertise in statistical, analytical and data visualization software, especially Python (or R), SQL, ArcGIS/AGOL, Tableau, Git.  6.	2+ yearsâ experience leading technical analytics projects and teams, and/or teaching data analytics, statistics and mathematics.","data.cityofnewyork.us"
572795,"Data Scientist","Arsenal 830 Fifth Ave, New Yor","USD",95000,105000,"1.	Successful track record of leading and executing a broad range of data science projects through their entire cycles on tight timelines.  2.	Strong statistical and geospatial analysis skills. Experience with data mining, time-series analyses, machine learning algorithms, decision models, prediction and experimental research and statistical design.  3.	Experience operationalizing business and policy problems through mathematical, statistical and computational techniques. Strong ability to translate business and management challenges into data analytics problems.  4.	Demonstrated curiosity, desire and ability to cut to the nature of problems by asking the right questions. High level of proficiency in communicating and presenting both verbally and visually to stakeholders. Ability to clearly convey complex concepts in plain language.  5.	Fluency in analytical programming, open source tools, version control. Demonstrated expertise in statistical, analytical and data visualization software, especially Python (or R), SQL, ArcGIS/AGOL, Tableau, Git.  6.	2+ yearsâ experience leading technical analytics projects and teams, and/or teaching data analytics, statistics and mathematics.","data.cityofnewyork.us"
