"job_id","skill"
"40879","A/B testing"
"40879","Data Analytics"
"40879","Data Studio"
"40879","Data warehouse"
"40879","Engineering"
"40879","Looker"
"40879","Metabase"
"40879","PostgreSQL"
"40879","Python"
"40879","Redash"
"40879","SQL"
"40879","Superset"
"40879","Tableau"
"40788","Chatbots"
"40788","ChatGPT"
"40788","GPT"
"40788","Research"
"40787","AI content"
"40787","Anyword"
"40787","Marketmuse"
"40787","Research"
"40787","Wordtune"
"40786","AI video"
"40786","Pictory"
"40786","Research"
"40785","AI art"
"40785","DALL-E"
"40785","Midjourney"
"40785","Research"
"40785","Stable Diffusion"
"40784","Copywriting"
"40784","Prompt writing"
"40784","Research"
"40784","UX"
"41775","Clojure"
"41775","Computer Science"
"41775","Data visualization"
"41775","Deep Learning"
"41775","E-commerce"
"41775","GPU"
"41775","Linear algebra"
"41775","Machine Learning"
"41775","Mathematics"
"41775","ML models"
"41775","PyTorch"
"41775","Research"
"41775","Statistics"
"41775","TensorFlow"
"41469","Architecture"
"41469","Engineering"
"41469","GitHub"
"41469","GPU"
"41469","HPC"
"41469","LLMs"
"41469","Machine Learning"
"41469","Model inference"
"41469","NLP"
"41469","Privacy"
"41469","Research"
"41469","Security"
"41469","Transformers"
"41075","Biochemistry"
"41075","Biology"
"41075","Chemistry"
"41075","Machine Learning"
"41075","Research"
"41075","Teaching"
"40454","Computer Science"
"40454","Deep Learning"
"40454","Economics"
"40454","Engineering"
"40454","Finance"
"40454","Machine Learning"
"40454","Mathematics"
"40454","PhD"
"40454","Physics"
"40454","Python"
"40454","Research"
"40454","Statistics"
"40454","Testing"
"40454","Trading Strategies"
"39437","Computer Science"
"39437","Deep Learning"
"39437","Engineering"
"39437","Machine Learning"
"39437","Mathematics"
"39437","PhD"
"39437","Python"
"39437","Research"
"39437","Scikit-learn"
"39437","Statistics"
"38846","Business Analytics"
"38846","Data Analytics"
"38846","Teaching"
"38514","Biology"
"38514","Classification"
"38514","Computer Science"
"38514","Data management"
"38514","Engineering"
"38514","Finance"
"38514","Machine Learning"
"38514","Mathematics"
"38514","PHP"
"38514","Physics"
"38514","Research"
"38514","Security"
"38424","Engineering"
"38424","Industrial"
"38424","PhD"
"38424","Research"
"38424","Teaching"
"37995","Computer Science"
"37995","Economics"
"37995","Engineering"
"37995","Machine Learning"
"37995","NLP"
"37995","PhD"
"37995","Research"
"37995","Teaching"
"41900","Airflow"
"41900","API Development"
"41900","APIs"
"41900","AWS"
"41900","Big Data"
"41900","Data pipelines"
"41900","Engineering"
"41900","ETL"
"41900","Hadoop"
"41900","NoSQL"
"41900","Pipelines"
"41900","Python"
"41900","Scala"
"41900","Spark"
"41900","SQL"
"41922","Architecture"
"41922","AWS"
"41922","Business Intelligence"
"41922","Elasticsearch"
"41922","Engineering"
"41922","Machine Learning"
"41922","ML models"
"41922","Open Source"
"41922","Python"
"41922","Research"
"41922","SageMaker"
"41922","Scala"
"41922","Spark"
"41922","SQL"
"41922","Streaming"
"41906","Agile"
"41906","Airflow"
"41906","AWS"
"41906","Azure"
"41906","BigQuery"
"41906","CI/CD"
"41906","Data warehouse"
"41906","Engineering"
"41906","ETL"
"41906","GCP"
"41906","Git"
"41906","Kafka"
"41906","Kubernetes"
"41906","Machine Learning"
"41906","Pipelines"
"41906","Python"
"41906","Redshift"
"41906","Scala"
"41906","Spark"
"41906","Streaming"
"41876","Airflow"
"41876","BigQuery"
"41876","Consulting"
"41876","GCP"
"41876","GitHub"
"41876","Google Cloud"
"41876","Python"
"41876","R"
"41876","R&D"
"41876","SQL"
"41876","Tableau"
"41916","Computer Science"
"41916","Data management"
"41916","Data Mining"
"41916","Data pipelines"
"41916","Data quality"
"41916","Engineering"
"41916","ETL"
"41916","Pipelines"
"41916","Python"
"41916","Spark"
"41916","SQL"
"41916","Testing"
"41892","APIs"
"41892","CI/CD"
"41892","Data Analytics"
"41892","Data management"
"41892","DevOps"
"41892","GitLab"
"41892","Machine Learning"
"41892","NLP"
"41892","NoSQL"
"41892","Python"
"41892","Security"
"41892","SQL"
"41892","Statistics"
"41892","Testing"
"41892","Unstructured data"
"41870","Business Intelligence"
"41870","Computer Science"
"41870","Data analysis"
"41870","Data Analytics"
"41870","Data Mining"
"41870","Data visualization"
"41870","Economics"
"41870","Machine Learning"
"41870","Mathematics"
"41870","Pandas"
"41870","Power BI"
"41870","Privacy"
"41870","Python"
"41870","R"
"41870","Scala"
"41870","SQL"
"41870","Statistics"
"41870","Tableau"
"41912","Agile"
"41912","APIs"
"41912","Architecture"
"41912","AWS"
"41912","Computer Science"
"41912","Consulting"
"41912","Data Mining"
"41912","Data pipelines"
"41912","Engineering"
"41912","ETL"
"41912","Flink"
"41912","GCP"
"41912","Google Cloud"
"41912","Hadoop"
"41912","Linux"
"41912","Looker"
"41912","Machine Learning"
"41912","Mathematics"
"41912","ML models"
"41912","Open Source"
"41912","Pipelines"
"41912","Python"
"41912","R&D"
"41912","Research"
"41912","Scrum"
"41912","Spark"
"41912","SQL"
"41912","Statistics"
"41912","Tableau"
"41912","Testing"
"41920","Agile"
"41920","APIs"
"41920","Architecture"
"41920","Data management"
"41920","DevOps"
"41920","GitLab"
"41920","Grafana"
"41920","Industrial"
"41920","Kubernetes"
"41920","Power BI"
"41920","Security"
"41920","SQL"
"41920","Testing"
"41927","A/B testing"
"41927","Business Intelligence"
"41927","Computer Science"
"41927","Consulting"
"41927","Data analysis"
"41927","Data Analytics"
"41927","Data Mining"
"41927","Data Studio"
"41927","Data visualization"
"41927","E-commerce"
"41927","Economics"
"41927","Engineering"
"41927","ETL"
"41927","Finance"
"41927","Machine Learning"
"41927","Mathematics"
"41927","Metabase"
"41927","Power BI"
"41927","Privacy"
"41927","Prototyping"
"41927","Python"
"41927","R"
"41927","SQL"
"41927","Statistics"
"41927","Tableau"
"41927","Testing"
"41936","Business Intelligence"
"41936","Computer Science"
"41936","Data warehouse"
"41936","ETL"
"41936","Informatica"
"41936","Qlik"
"41936","Research"
"41936","SQL"
"41936","Talend"
"41936","Testing"
"41854","APIs"
"41854","Architecture"
"41854","AWS"
"41854","Engineering"
"41854","Kanban"
"41854","Python"
"41854","Research"
"41854","Snowflake"
"41854","SQL"
"41863","Blockchain"
"41863","Computer Science"
